|   title |   IS elements |
|       1 |     2919.46   |
|       2 |      436.242  |
|       3 |      268.456  |
|       4 |      134.228  |
|       5 |       33.557  |
|       6 |       33.557  |
|       7 |      117.45   |
|       8 |        0      |
|       9 |      100.671  |
|      10 |       83.8926 |
|      11 |       16.7785 |
|      12 |       33.557  |
|      13 |       50.3356 |
|      14 |       50.3356 |
|      15 |       67.1141 |
|      16 |       33.557  |
|      17 |       83.8926 |
|      18 |       33.557  |
|      19 |       33.557  |
|      20 |       50.3356 |
|       1 |     2365.77   |
|       2 |      872.483  |
|       3 |      302.013  |
|       4 |      234.899  |
|       5 |      134.228  |
|       6 |      100.671  |
|       7 |       16.7785 |
|       8 |       33.557  |
|       9 |        0      |
|      10 |        0      |
|      11 |        0      |
|      12 |       33.557  |
|      13 |       50.3356 |
|      14 |       50.3356 |
|      15 |      -16.7785 |
|      16 |        0      |
|      17 |       67.1141 |
|      18 |       33.557  |
|      19 |       33.557  |
|      20 |      -16.7785 |
|       1 |     3255.03   |
|       2 |      906.04   |
|       3 |      335.57   |
|       4 |       67.1141 |
|       5 |       67.1141 |
|       6 |       33.557  |
|       7 |       33.557  |
|       8 |       33.557  |
|       9 |       33.557  |
|      10 |       50.3356 |
|      11 |        0      |
|      12 |        0      |
|      13 |       50.3356 |
|      14 |      -16.7785 |
|      15 |      -33.557  |
|      16 |      -33.557  |
|      17 |        0      |
|      18 |        0      |
|      19 |       33.557  |
|      20 |      318.792  |
|       1 |      637.584  |
|       2 |      268.456  |
|       3 |      167.785  |
|       4 |      134.228  |
|       5 |      134.228  |
|       6 |      100.671  |
|       7 |       83.8926 |
|       8 |       83.8926 |
|       9 |       33.557  |
|      10 |       16.7785 |
|      11 |      167.785  |
|      12 |       67.1141 |
|      13 |        0      |
|      14 |       67.1141 |
|      15 |      167.785  |
|      16 |      201.342  |
|      17 |       83.8926 |
|      18 |      268.456  |
|      19 |      469.799  |
|      20 |     1677.85   |
