| Category   |         X |           Y |
| SC         | 0.0287971 | 0.000613668 |
| SC         | 0.0821251 | 0.00735778  |
| SC         | 0.070393  | 0.213372    |
| SC         | 0.750858  | 0.331839    |
| PVA        | 0.221844  | 0.0015685   |
| PVA        | 0.183448  | 0.000424726 |
| PVA        | 0.104523  | 0.00114719  |
| PE+SC      | 0.704996  | 0.271034    |
| PE+SC      | 0.40316   | 0.000185569 |
| PE+SC      | 0.0767923 | 0.000288598 |
| PE+SC      | 0.0117322 | 0.000293958 |
| PE         | 0.366897  | 0.331839    |
| PE         | 0.0373296 | 0.000737642 |
| PE         | 0.017065  | 0.00104635  |
| PE         | 0.117322  | 0.0102468   |
| EVOH       | 0.392494  | 0.680118    |
| EVOH       | 0.282638  | 0.308292    |
| EVOH       | 0.333833  | 0.106041    |
