| Category    |          X |        Y |
| WO3-AMT+P25 | 120.358    | 0.196564 |
| WO3-AMT+P25 | 100.119    | 0.340761 |
| WO3-AMT+P25 |  79.8806   | 0.507726 |
| WO3-AMT+P25 |  59.8209   | 0.672162 |
| WO3-AMT+P25 |  49.9701   | 0.763234 |
| WO3-AMT+P25 |  40.1194   | 0.844187 |
| WO3-AMT+P25 |  29.9104   | 0.935259 |
| WO3-AMT+P25 |  19.7015   | 1.03139  |
| WO3-AMT+P25 |   9.85075  | 1.09716  |
| WO3-AMT+P25 |   0        | 1.25148  |
| WO3-HW+P25  | 120.179    | 0.406535 |
| WO3-HW+P25  | 100.119    | 0.525435 |
| WO3-HW+P25  |  60        | 0.798651 |
| WO3-HW+P25  |  49.9701   | 0.851776 |
| WO3-HW+P25  |  40.1194   | 0.950437 |
| WO3-HW+P25  |  29.7313   | 1.03139  |
| WO3-HW+P25  |  19.7015   | 1.13258  |
| WO3-HW+P25  |   9.67164  | 1.24389  |
| WO3-HW+P25  |  -0.358209 | 1.25401  |
| WO3-HW+P25  |  80.1791   | 0.662886 |
| WO3-HW5+P25 | 120        | 0.300285 |
| WO3-HW5+P25 |  99.9403   | 0.419184 |
| WO3-HW5+P25 |  80.2388   | 0.545673 |
| WO3-HW5+P25 |  60        | 0.723601 |
| WO3-HW5+P25 |  49.9104   | 0.777569 |
| WO3-HW5+P25 |  40        | 0.877917 |
| WO3-HW5+P25 |  29.9104   | 0.995973 |
| WO3-HW5+P25 |  20.0597   | 1.0921   |
| WO3-HW5+P25 |   9.79104  | 1.24052  |
| WO3-HW5+P25 |   0        | 1.25654  |
| WO3-NWH+P25 | 120        | 0.527965 |
| WO3-NWH+P25 |  99.9403   | 0.598798 |
| WO3-NWH+P25 |  80.0597   | 0.705049 |
| WO3-NWH+P25 |  59.8209   | 0.844187 |
| WO3-NWH+P25 |  49.791    | 0.915021 |
| WO3-NWH+P25 |  39.7612   | 0.970676 |
| WO3-NWH+P25 |  30.0896   | 1.07187  |
| WO3-NWH+P25 |  20.2388   | 1.15535  |
| WO3-NWH+P25 |   9.85075  | 1.24136  |
| WO3-NWH+P25 |  -0.358209 | 1.25654  |
| WO3-COM+P25 | 120.179    | 0.505197 |
| WO3-COM+P25 | 100.478    | 0.634215 |
| WO3-COM+P25 |  80.0597   | 0.664573 |
| WO3-COM+P25 |  59.8209   | 0.763234 |
| WO3-COM+P25 |  49.9701   | 0.818889 |
| WO3-COM+P25 |  40.1194   | 0.854306 |
| WO3-COM+P25 |  30.0896   | 0.899842 |
| WO3-COM+P25 |   9.67164  | 1.24389  |
| P25         | 120.179    | 0.221861 |
| P25         | 100.119    | 0.330642 |
| P25         |  79.8806   | 0.477369 |
| P25         |  59.8209   | 0.626626 |
| P25         |  49.9701   | 0.702519 |
| P25         |  40.1194   | 0.801181 |
| P25         |  30.2687   | 0.909961 |
| P25         |  20.2388   | 1.01368  |
| P25         |   9.67164  | 1.1174   |
| P25         |  -0.358209 | 1.25401  |
