| title   |   Adult seasonal influenza vaccine doses |
| 2004    |                               1.35481    |
| 2005    |                               3.95886    |
| 2006    |                               4.87379    |
| 2007    |                               7.81214    |
| 2008*   |                              10.7505     |
| 2004    |                               0.00439873 |
| 2005    |                               0.475063   |
| 2006    |                              -0.0131962  |
| 2007    |                               2.15098    |
| 2008*   |                               3.06152    |
