|   title |   ART patients |
|    2002 |        304.776 |
|    2003 |       1048.13  |
|    2004 |       2534.84  |
|    2005 |       4467.57  |
|    2006 |       7292.32  |
|    2007 |      10414.4   |
|    2008 |      14279.9   |
|    2009 |      16807.3   |
|    2010 |      18442.7   |
|    2011 |      20672.7   |
|    2012 |      24984.2   |
|    2013 |      28998.3   |
|    2002 |       1196.8   |
|    2003 |       2980.86  |
|    2004 |       5954.28  |
|    2005 |       9373.72  |
|    2006 |      14131.2   |
|    2007 |      18294     |
|    2008 |      24092.2   |
|    2009 |      26470.9   |
|    2010 |      27957.6   |
|    2011 |      28998.3   |
|    2012 |      32863.8   |
|    2013 |      36729.2   |
|    2002 |        156.105 |
|    2003 |        304.776 |
|    2004 |        750.79  |
|    2005 |       1048.13  |
|    2006 |       1345.47  |
|    2007 |       1791.49  |
|    2008 |       2237.5   |
|    2009 |       2534.84  |
|    2010 |       2832.19  |
|    2011 |       3129.53  |
|    2012 |       3575.54  |
|    2013 |       3724.21  |
