| title   |   At least one problem |
| 14-19   |               12.6643  |
| 20-29   |               39.0254  |
| 30-39   |               57.4781  |
| 40-49   |               97.0197  |
| 50-59   |              145.129   |
| 60-69   |              153.696   |
| 70-79   |              180.057   |
| 80+     |               50.2288  |
| 14-19   |              139.197   |
| 20-29   |              234.097   |
| 30-39   |              248.596   |
| 40-49   |              299.121   |
| 50-59   |              184.011   |
| 60-69   |              136.561   |
| 70-79   |               69.9996  |
| 80+     |                4.75598 |
