| Category        |        X |          Y |
| Local optimum   | 0.197769 | 0.0119511  |
| Local optimum   | 0.199406 | 0.0119581  |
| Local optimum   | 0.199649 | 0.0114243  |
| Local optimum   | 0.199244 | 0.0113965  |
| Local optimum   | 0.198075 | 0.0112718  |
| Local optimum   | 0.198214 | 0.0106686  |
| Local optimum   | 0.198075 | 0.0105023  |
| Local optimum   | 0.198555 | 0.0105924  |
| Local optimum   | 0.197335 | 0.0105092  |
| Local optimum   | 0.197381 | 0.00982288 |
| Local optimum   | 0.197294 | 0.00921976 |
| Local optimum   | 0.197474 | 0.00928908 |
| Local optimum   | 0.197289 | 0.00901872 |
| Local optimum   | 0.197641 | 0.00896326 |
| Local optimum   | 0.197711 | 0.0091227  |
| Local optimum   | 0.197664 | 0.00924055 |
| Local optimum   | 0.197884 | 0.00921282 |
| Local optimum   | 0.19815  | 0.00952478 |
| Local optimum   | 0.198168 | 0.0093792  |
| Local optimum   | 0.198411 | 0.0094208  |
| Local optimum   | 0.198492 | 0.00947626 |
| Local optimum   | 0.198584 | 0.00956638 |
| Local optimum   | 0.198631 | 0.00932374 |
| Local optimum   | 0.198983 | 0.00948319 |
| Local optimum   | 0.199319 | 0.00956638 |
| Local optimum   | 0.198347 | 0.00901872 |
| Local optimum   | 0.197381 | 0.00825615 |
| Local optimum   | 0.197717 | 0.00851958 |
| Local optimum   | 0.197994 | 0.00865823 |
| Local optimum   | 0.198145 | 0.00871369 |
| Local optimum   | 0.198289 | 0.00859584 |
| Local optimum   | 0.198347 | 0.00845719 |
| Local optimum   | 0.198353 | 0.00832548 |
| Local optimum   | 0.198538 | 0.00858198 |
| Local optimum   | 0.198139 | 0.00822842 |
| Local optimum   | 0.199168 | 0.00872062 |
| Local optimum   | 0.19929  | 0.00868596 |
| Local optimum   | 0.199296 | 0.00838787 |
| Local optimum   | 0.199174 | 0.00828388 |
| Local optimum   | 0.199122 | 0.00836014 |
| Local optimum   | 0.199122 | 0.00805511 |
| Local optimum   | 0.197861 | 0.00812444 |
| Local optimum   | 0.198081 | 0.00810364 |
| Local optimum   | 0.197381 | 0.00777782 |
| Local optimum   | 0.197526 | 0.00780555 |
| Local optimum   | 0.197676 | 0.00774315 |
| Local optimum   | 0.197774 | 0.00765303 |
| Local optimum   | 0.198174 | 0.00758371 |
| Local optimum   | 0.198324 | 0.00779168 |
| Local optimum   | 0.198434 | 0.00786794 |
| Local optimum   | 0.198509 | 0.00786794 |
| Local optimum   | 0.198596 | 0.00784021 |
| Local optimum   | 0.198764 | 0.00760451 |
| Local optimum   | 0.198885 | 0.0073896  |
| Local optimum   | 0.199388 | 0.00763917 |
| Local optimum   | 0.19933  | 0.00743813 |
| Local optimum   | 0.198602 | 0.00707764 |
| Local optimum   | 0.19833  | 0.00686274 |
| Local optimum   | 0.198017 | 0.00666863 |
| Local optimum   | 0.19844  | 0.00657158 |
| Local optimum   | 0.198607 | 0.00650919 |
| Local optimum   | 0.198735 | 0.00603778 |
| Local optimum   | 0.201158 | 0.00995459 |
| Local optimum   | 0.202819 | 0.00935147 |
| Local optimum   | 0.202067 | 0.00920589 |
| Local optimum   | 0.202356 | 0.00860971 |
| Local optimum   | 0.201997 | 0.00875529 |
| Local optimum   | 0.201691 | 0.00878302 |
| Local optimum   | 0.200661 | 0.00924749 |
| Local optimum   | 0.200395 | 0.00898406 |
| Local optimum   | 0.201048 | 0.00840867 |
| Local optimum   | 0.20095  | 0.00789567 |
| Local optimum   | 0.202819 | 0.00777088 |
| Local optimum   | 0.199747 | 0.00757678 |
| Local optimum   | 0.199799 | 0.00768076 |
| Local optimum   | 0.199897 | 0.00756984 |
| Local optimum   | 0.200291 | 0.00745199 |
| Local optimum   | 0.200499 | 0.00741733 |
| Local optimum   | 0.200713 | 0.00718163 |
| Local optimum   | 0.200077 | 0.00720936 |
| Local optimum   | 0.199955 | 0.00700139 |
| Local optimum   | 0.199209 | 0.00654385 |
| Local optimum   | 0.199325 | 0.00662704 |
| Local optimum   | 0.199411 | 0.00657851 |
| Local optimum   | 0.199452 | 0.00674489 |
| Local optimum   | 0.199608 | 0.00703605 |
| Local optimum   | 0.199816 | 0.00677262 |
| Local optimum   | 0.199955 | 0.00653692 |
