| title   |   CD4+T cell specific (287) |
| 0       |                   16.5822   |
| 1       |                   25.9035   |
| 2-5     |                   34.2437   |
| 6-12    |                    8.48733  |
| 0       |                   64.6607   |
| 1       |                   17.5634   |
| 2-5     |                    9.46852  |
| 6-12    |                    0.392478 |
| 0       |                   52.3957   |
| 1       |                   15.601    |
| 2-5     |                    7.50613  |
| 6-12    |                    0.637776 |
