| Category         |          X |          Y |
| 30.79 J/cm^{2}   | 23.8898    | 156.548    |
| 30.79 J/cm^{2}   | 10.8013    | 150.411    |
| 30.79 J/cm^{2}   |  1.08514   |  61.4296   |
| 30.79 J/cm^{2}   |  1.28548   |  54.735    |
| 30.79 J/cm^{2}   |  1.38564   |  39.3933   |
| 30.79 J/cm^{2}   |  1.31886   |  34.3724   |
| 30.79 J/cm^{2}   |  1.41903   |  22.6569   |
| 26.39 J/cm^{2}   | 25.626     | 149.854    |
| 26.39 J/cm^{2}   |  5.39232   | 147.343    |
| 26.39 J/cm^{2}   |  1.78631   |  90.7183   |
| 26.39 J/cm^{2}   |  1.08514   |  39.3933   |
| 26.39 J/cm^{2}   |  1.58598   |  12.6151   |
| 26.39 J/cm^{2}   |  1.2187    |  19.5886   |
| 21.99 J/cm^{2}   | 19.616     | 149.854    |
| 21.99 J/cm^{2}   |  7.99666   | 148.459    |
| 21.99 J/cm^{2}   |  3.18865   |  39.1144   |
| 17.60 J/cm^{2}   | 12.0367    | 149.854    |
| 17.60 J/cm^{2}   |  3.75626   | 148.738    |
| 17.60 J/cm^{2}   |  1.85309   |   0.341702 |
| 17.60 J/cm^{2}   |  1.41903   |   0.341702 |
| Pristine surface | -0.0500835 |  90.1604   |
