| Category   |          X |       Y |
| G1-RF      |    0       | 784.711 |
| G1-RF      |   -2.1978  | 764.431 |
| G1-I5      |    4.12088 | 787.051 |
| G1-I5      |    4.12088 | 818.643 |
| G1-I5      |    4.12088 | 856.084 |
| G1-I50     |   55.2198  | 864.275 |
| G1-I50     |   50.2747  | 810.452 |
| G1-I50     |   56.8681  | 795.242 |
| G1-I500    |  531.593   | 874.805 |
| G1-I500    |  510.989   | 815.133 |
| G1-I500    |  537.363   | 767.161 |
| G1-I1000   |  945.33    | 850.234 |
| G1-I1000   |  964.286   | 878.315 |
| G1-I1000   | 1066.48    | 866.615 |
