| Category        |        X |        Y |
| 3M S42XHS       | 0.421032 |  55.4737 |
| 3M XLD6000      | 0.301113 |  41.1092 |
| 3M XLD3000      | 0.230774 |  20.9471 |
| ESS MacroFoam30 | 0.480739 |  32.7273 |
| ESS MacroFoam20 | 0.320912 |  12.1221 |
| ESS HZ-34       | 0.55053  |  84.4142 |
| Syntech AM-36   | 0.577214 |  76.1659 |
| Syntech AM-26   | 0.416819 |  21.0623 |
| GPMC R3325      | 0.400793 |  12.1348 |
| DIAB LD3000     | 0.450511 |  53.5181 |
| DIAB LD4000     | 0.475547 |  99.3549 |
| CS T10          | 0.390167 | 164.147  |
