|   title |   + empty plasmid (n=56) |
|       1 |                 7.17694  |
|       2 |                 3.62122  |
|       3 |                 1.56265  |
|       4 |                76.7942   |
|       5 |                10.5455   |
|       1 |                10.5455   |
|       2 |                 4.18265  |
|       3 |                 2.68551  |
|       4 |                73.1449   |
|       5 |                 9.42266  |
|       1 |                29.2598   |
|       2 |                 2.12408  |
|       3 |                 5.21194  |
|       4 |                57.7056   |
|       5 |                 3.43408  |
|       1 |                34.8741   |
|       2 |                 3.43408  |
|       3 |                 1.93693  |
|       4 |                60.5128   |
|       5 |                 0.252643 |
