| Category   |          X |           Y |
| pop:C      | -0.205956  | -0.795059   |
| pop:C      | -0.171456  | -0.477412   |
| pop:C      | -0.341023  | -0.383294   |
| pop:C      | -0.297714  | -0.697412   |
| pop:C      | -0.492974  | -1.09624    |
| pop:C      | -0.544358  | -0.870353   |
| pop:C      | -0.459207  | -0.564471   |
| pop:C      | -0.479761  | -0.378588   |
| pop:C      | -0.349098  | -0.0656471  |
| pop:C      | -0.60969   | -0.135059   |
| pop:C      | -0.564912  | -0.028      |
| pop:C      | -0.606753  | -0.766824   |
| pop:C      | -0.905516  | -0.538588   |
| pop:C      | -0.993603  | -0.477412   |
| pop:C      | -0.900378  | -0.211529   |
| pop:C      | -0.848993  |  0.00258824 |
| pop:C      | -0.71466   |  0.257882   |
| pop:C      | -0.64052   |  0.580235   |
| pop:C      | -0.839451  |  0.429647   |
| pop:C      | -0.945155  | -0.0632941  |
| pop:C      | -1.13895   | -0.230353   |
| pop:C      | -1.58012   | -0.0256471  |
| pop:C      | -1.31292   |  0.012      |
| pop:C      | -1.13381   |  0.0755294  |
| pop:C      | -1.01636   |  0.120235   |
| pop:C      | -1.04279   |  0.134353   |
| pop:C      | -1.02517   |  0.233176   |
| pop:C      | -1.04719   |  0.419059   |
| pop:C      | -1.07875   |  0.468471   |
| pop:C      | -1.17565   |  0.497882   |
| pop:C      | -1.16831   |  0.207294   |
| pop:C      | -1.33127   |  0.179059   |
| pop:C      | -1.23805   |  0.284941   |
| pop:C      | -1.16537   |  0.670824   |
| pop:C      | -1.20061   |  0.737882   |
| pop:C      | -1.24539   |  0.913176   |
| pop:C      | -1.25346   |  0.666118   |
| pop:C      | -1.29824   |  0.708471   |
| pop:C      | -1.27181   |  0.374353   |
| pop:C      | -1.38339   |  0.292      |
| pop:C      | -1.33935   |  0.364941   |
| pop:C      | -1.3599    |  0.484941   |
| pop:C      | -1.38412   |  0.455529   |
| pop:C      | -1.42156   |  0.388471   |
| pop:C      | -1.44799   |  0.543765   |
| pop:C      | -1.57424   |  0.703765   |
| pop:C      | -1.70344   |  0.553176   |
| pop:C      | -1.72399   |  0.586118   |
| pop:C      | -1.41275   |  1.29624    |
| pop:B      |  0.490352  | -1.192      |
| pop:B      |  0.39849   | -1.13301    |
| pop:B      |  0.325503  | -1.11284    |
| pop:B      |  0.345638  | -1.24192    |
| pop:B      |  0.348154  | -1.33872    |
| pop:B      |  0.453859  | -1.49603    |
| pop:B      |  0.456376  | -1.56057    |
| pop:B      |  0.496644  | -1.73402    |
| pop:B      |  0.514576  | -1.84897    |
| pop:B      |  0.43341   | -1.86309    |
| pop:B      |  0.311346  | -1.79755    |
| pop:B      |  0.221057  | -1.77788    |
| pop:B      |  0.345638  | -1.68561    |
| pop:B      |  0.423658  | -1.65738    |
| pop:B      |  0.385277  | -1.55301    |
| pop:B      |  0.327391  | -1.55654    |
| pop:B      |  0.329279  | -1.59284    |
| pop:B      |  0.280201  | -1.45166    |
| pop:B      |  0.277685  | -1.33872    |
| pop:B      |  0.24245   | -1.24998    |
| pop:B      |  0.204698  | -1.32965    |
| pop:B      |  0.0788591 | -1.44763    |
| pop:B      |  0.452349  | -2.30847    |
| pop:D      |  0.602349  |  1.28145    |
| pop:D      |  0.846477  |  1.1201     |
| pop:D      |  1.06292   |  0.991025   |
| pop:D      |  1.07802   |  0.837748   |
| pop:D      |  1.04027   |  0.926487   |
| pop:D      |  1.11577   |  0.603798   |
| pop:D      |  1.06292   |  0.700605   |
| pop:D      |  1.01762   |  0.81758    |
| pop:D      |  1.03775   |  0.761109   |
| pop:D      |  1.00252   |  0.708672   |
| pop:D      |  0.984899  |  0.511025   |
| pop:D      |  1.04027   |  0.43842    |
| pop:D      |  1.05537   |  0.377916   |
| pop:D      |  1.02265   |  0.361782   |
| pop:D      |  0.997483  |  0.329513   |
| pop:D      |  0.919463  |  0.075395   |
| pop:D      |  0.831376  |  0.24884    |
| pop:D      |  0.622483  |  0.216571   |
| pop:D      |  0.496644  |  0.244807   |
| pop:D      |  0.645134  |  0.38195    |
| pop:D      |  0.705537  |  0.418252   |
| pop:D      |  0.750839  |  0.365815   |
| pop:D      |  0.786074  |  0.390017   |
| pop:D      |  0.783557  |  0.466655   |
| pop:D      |  0.728188  |  0.519092   |
| pop:D      |  0.619966  |  0.547328   |
| pop:D      |  0.730705  |  0.664303   |
| pop:D      |  0.587248  |  0.914387   |
| pop:D      |  0.770973  |  0.914387   |
| pop:D      |  0.833893  |  0.825647   |
| pop:D      |  0.78104   |  1.0959     |
| pop:D      |  0.76594   |  1.04346    |
| pop:D      |  0.934564  |  0.611866   |
| pop:D      |  0.911913  |  0.676403   |
| pop:D      |  0.884228  |  0.58363    |
| pop:D      |  0.85151   |  0.567496   |
| pop:D      |  0.846477  |  0.680437   |
| pop:D      |  0.808725  |  0.664303   |
| pop:D      |  0.796141  |  0.607832   |
| pop:D      |  0.768456  |  0.765143   |
| pop:D      |  0.738255  |  0.744975   |
| pop:D      |  0.770973  |  0.692538   |
| pop:D      |  0.879195  |  0.890185   |
| pop:D      |  0.85151   |  0.966824   |
| pop:D      |  1.16233   |  0.797412   |
