| title   |       CSHS |
| 2003-4  |  113.757   |
| 2004-5  | 1919.31    |
| 2005-6  | 2197.09    |
| 2006-7  | 2276.46    |
| 2007-8  | 2752.65    |
| 2008-9  | 3347.88    |
| 2009-10 | 3843.92    |
| 2010-11 | 4022.49    |
| 2003-4  |   34.3915  |
| 2004-5  |  639.55    |
| 2005-6  | 1026.46    |
| 2006-7  | 2236.77    |
| 2007-8  | 2177.25    |
| 2008-9  | 3208.99    |
| 2009-10 | 3407.41    |
| 2010-11 | 4835.98    |
| 2003-4  |    6.04686 |
| 2004-5  |    6.04686 |
| 2005-6  |    6.04686 |
| 2006-7  |   17.3847  |
| 2007-8  |   17.3847  |
| 2008-9  |  244.142   |
| 2009-10 |  720.333   |
| 2010-11 |  947.09    |
| 2003-4  |   17.3847  |
| 2004-5  |    6.04686 |
| 2005-6  |    6.04686 |
| 2006-7  |    6.04686 |
| 2007-8  |   17.3847  |
| 2008-9  |  212.963   |
| 2009-10 |  351.852   |
| 2010-11 |  371.693   |
| 2003-4  |   17.3847  |
| 2004-5  |    6.04686 |
| 2005-6  |  232.804   |
| 2006-7  |  431.217   |
| 2007-8  |  232.804   |
| 2008-9  |  232.804   |
| 2009-10 |  292.328   |
| 2010-11 |  351.852   |
| 2003-4  |   17.3847  |
| 2004-5  |  212.963   |
| 2005-6  |  113.757   |
| 2006-7  |  193.122   |
| 2007-8  |  332.011   |
| 2008-9  |  470.899   |
| 2009-10 |  361.772   |
| 2010-11 |  391.534   |
