| Category   |         X |          Y |
| NBF        |  -3.51964 |  18.9708   |
| NBF        |  -6.61254 |  14.2468   |
| NBF        | -10.5891  |   7.18506  |
| NBF        | -11.4728  |   6.45455  |
| NBF        | -12.2205  |   6.35714  |
| NBF        | -11.8807  |   4.40909  |
| NBF        | -14.2598  |   1.68182  |
| NBF        | -14.4298  |   0.853896 |
| NBF        | -13.682   |   1.1461   |
| NBF        | -12.1526  |  -1.33766  |
| NBF        | -10.929   |  -2.8474   |
| NBF        |  -9.29758 |  -3.38312  |
| 3 h BF     |  -1.51435 | -14.7792   |
| 3 h BF     |  -3.92749 | -20.9643   |
| 3 h BF     |  -7.59819 | -23.4968   |
| 24 h BF    |  23.5234  |  12.2581   |
| 24 h BF    |  23.9313  |   3.63799  |
| 24 h BF    |  23.7613  |   0.228896 |
| 12 h BF    |  25.2568  |  -2.01136  |
| 12 h BF    |  23.7613  |  -4.00812  |
| 12 h BF    |  24.1012  |  -4.88474  |
