| title   |    CS 1% |
| LN 2.5  | 217.97   |
| LN 4    | 174.866  |
| LN 5    | 164.321  |
| LN 6    | 115.482  |
| LN 8    | 113.817  |
| LN 10   |  62.2028 |
| LN 12   |  58.3179 |
| LN 2.5  | 132.687  |
| LN 4    | 119.367  |
| LN 5    | 124.362  |
| LN 6    |  87.7324 |
| LN 8    |  87.7324 |
| LN 10   |  46.1081 |
| LN 12   |  45.5531 |
| LN 2.5  | 125.472  |
| LN 4    | 106.047  |
| LN 5    | 120.477  |
| LN 6    |  86.0674 |
| LN 8    |  86.0674 |
| LN 10   |  48.8831 |
| LN 12   |  29.2734 |
| LN 2.5  | 127.692  |
| LN 4    | 108.822  |
| LN 5    | 103.827  |
| LN 6    |  82.7375 |
| LN 8    |  86.0674 |
| LN 10   |  43.8882 |
| LN 12   |  31.6784 |
| LN 2.5  | 106.047  |
| LN 4    |  77.1876 |
| LN 5    |  71.6377 |
| LN 6    |  68.3077 |
| LN 8    |  50.5481 |
| LN 10   |  38.8933 |
| LN 12   |  36.1183 |
| LN 2.5  | 128.802  |
| LN 4    |  58.8729 |
| LN 5    |  78.2976 |
| LN 6    |  51.658  |
| LN 8    |  35.5633 |
| LN 10   |  35.5633 |
| LN 12   |  32.2334 |
