| Category   |   first quartile |     max |   median |       min |   third quartile | x    |
| Colon      |          4.40363 | 7.56679 |  5.21947 | 3.25859   |          6.53626 | ExO1 |
| Colon      |          2.97233 | 5.31966 |  3.83111 | 1.69847   |          4.44656 | MLH1 |
| Colon      |          4.17462 | 6.99427 |  4.90458 | 2.80057   |          5.94943 | MLH3 |
| Colon      |          3.7214  | 6.40744 |  4.38173 | 2.22805   |          4.96628 | MSH2 |
| Colon      |          4.16031 | 6.16412 |  4.47519 | 3.2729    |          5.0334  | MSH3 |
| Colon      |          3.37309 | 6.16412 |  3.85973 | 2.0563    |          4.79008 | MSH6 |
| Colon      |          2.88645 | 5.97805 |  4.14599 | 0.782443  |          4.87595 | PMS1 |
| Colon      |          6.29294 | 8.5687  |  6.75095 | 5.27672   |          7.38073 | PMS2 |
| Rectum     |          3.17271 | 6.77958 |  4.43225 | 0.310115  |          5.1479  | ExO1 |
| Rectum     |          2.88645 | 4.4895  |  3.41603 | 1.31202   |          4.13168 | MLH1 |
| Rectum     |          3.3874  | 6.39313 |  4.14599 | 0.997137  |          5.00477 | MLH3 |
| Rectum     |          1.90747 | 5.62023 |  2.70336 | 0.023855  |          3.72301 | MSH2 |
| Rectum     |          3.37309 | 4.83302 |  3.80248 | 2.47137   |          4.20324 | MSH3 |
| Rectum     |          2.15649 | 5.2624  |  2.78626 | 0.0381679 |          3.95992 | MSH6 |
| Rectum     |          2.62882 | 5.90649 |  3.31584 | 1.64122   |          3.97424 | PMS1 |
| Rectum     |          5.17653 | 7.22328 |  5.73473 | 3.83111   |          6.39313 | PMS2 |
