| title   |         F7 |
| I       | 10.4457    |
| I       |  6.48654   |
| II      |  3.64931   |
| II      |  8.06966   |
| II      |  7.6563    |
| III     |  9.79055   |
| III     |  6.39656   |
| IV      | 13.1002    |
| IV      |  7.6563    |
| V       |  6.89146   |
| V       | 12.5603    |
| X       |  0.0134972 |
| X       |  5.88479   |
| X       |  2.35864   || I       | 10.4007    |
| I       |  3.06725   |
| II      |  1.95372   |
| II      |  3.57339   |
| II      |  4.9906    |
| III     |  9.79055   |
| III     |  6.41624   |
| IV      |  9.8496    |
| IV      |  7.62256   |
| V       |  6.00289   |
| V       | 12.5603    |
| X       |  2.76356   |
| X       |  5.90166   |
| X       |  2.35864   || I       | 10.4007    |
| I       |  3.06725   |
| II      |  1.95372   |
| II      |  3.57339   |
| II      |  2.7973    |
| III     |  9.77368   |
| III     |  6.40781   |
| IV      |  9.8496    |
| IV      |  7.62256   |
| V       |  6.00289   |
| V       | 12.5603    |
| X       |  1.34635   |
| X       |  5.90166   |
| X       |  2.35864   |
