| Category                 |       X |        Y |
| [unnamed data series #0] | 201.831 | 0.278183 |
| [unnamed data series #0] | 185.493 | 0.353729 |
| [unnamed data series #0] | 184.648 | 0.404904 |
| [unnamed data series #0] | 189.296 | 0.443895 |
| [unnamed data series #0] | 175.07  | 0.605952 |
| [unnamed data series #0] | 170.986 | 0.585238 |
| [unnamed data series #0] | 177.465 | 0.443895 |
| [unnamed data series #0] | 178.028 | 0.361039 |
| [unnamed data series #0] | 174.085 | 0.351292 |
| [unnamed data series #0] | 172.817 | 0.301334 |
| [unnamed data series #0] | 178.592 | 0.286713 |
| [unnamed data series #0] | 176.479 | 0.251377 |
| [unnamed data series #0] | 180.141 | 0.205075 |
| [unnamed data series #0] | 169.577 | 0.324485 |
| [unnamed data series #0] | 111.549 | 0.380535 |
| [unnamed data series #0] | 110.986 | 0.481668 |
| [unnamed data series #0] | 126.761 | 0.585238 |
| [unnamed data series #0] | 116.62  | 0.382972 |
| [unnamed data series #0] | 118.873 | 0.448769 |
| [unnamed data series #0] | 124.754 | 0.515877 |
| [unnamed data series #0] | 123.148 | 0.495406 |
| [unnamed data series #0] | 124.415 | 0.353576 |
| [unnamed data series #0] | 119.261 | 0.407676 |
| [unnamed data series #0] | 120.866 | 0.419374 |
| [unnamed data series #0] | 124.585 | 0.429609 |
| [unnamed data series #0] | 125.43  | 0.40987  |
| [unnamed data series #0] | 129.655 | 0.472743 |
| [unnamed data series #0] | 130.162 | 0.446424 |
| [unnamed data series #0] | 130.923 | 0.451541 |
| [unnamed data series #0] | 137.683 | 0.520994 |
| [unnamed data series #0] | 141.401 | 0.532692 |
| [unnamed data series #0] | 144.866 | 0.520263 |
| [unnamed data series #0] | 145.289 | 0.534885 |
| [unnamed data series #0] | 146.303 | 0.535616 |
| [unnamed data series #0] | 148.415 | 0.586061 |
| [unnamed data series #0] | 151.965 | 0.556817 |
| [unnamed data series #0] | 137.261 | 0.519532 |
| [unnamed data series #0] | 163.12  | 0.555355 |
| [unnamed data series #0] | 155.007 | 0.517339 |
| [unnamed data series #0] | 155.43  | 0.490289 |
| [unnamed data series #0] | 150.19  | 0.501255 |
| [unnamed data series #0] | 147.908 | 0.482978 |
| [unnamed data series #0] | 147.655 | 0.471281 |
| [unnamed data series #0] | 144.528 | 0.472012 |
| [unnamed data series #0] | 139.627 | 0.422298 |
| [unnamed data series #0] | 133.711 | 0.578019 |
| [unnamed data series #0] | 142.415 | 0.43034  |
| [unnamed data series #0] | 142.415 | 0.406214 |
| [unnamed data series #0] | 139.204 | 0.384282 |
| [unnamed data series #0] | 137.599 | 0.376971 |
| [unnamed data series #0] | 135.908 | 0.393055 |
| [unnamed data series #0] | 133.542 | 0.401828 |
| [unnamed data series #0] | 133.88  | 0.425222 |
| [unnamed data series #0] | 134.134 | 0.434726 |
| [unnamed data series #0] | 128.303 | 0.367467 |
| [unnamed data series #0] | 129.824 | 0.37624  |
| [unnamed data series #0] | 129.486 | 0.397441 |
| [unnamed data series #0] | 131.092 | 0.398903 |
| [unnamed data series #0] | 132.106 | 0.386475 |
| [unnamed data series #0] | 133.035 | 0.398172 |
| [unnamed data series #0] | 129.063 | 0.36966  |
| [unnamed data series #0] | 128.049 | 0.224174 |
| [unnamed data series #0] | 134.387 | 0.249762 |
| [unnamed data series #0] | 135.824 | 0.219788 |
| [unnamed data series #0] | 135.486 | 0.303863 |
| [unnamed data series #0] | 138.106 | 0.33603  |
| [unnamed data series #0] | 143.683 | 0.284123 |
| [unnamed data series #0] | 144.613 | 0.276081 |
| [unnamed data series #0] | 146.556 | 0.312636 |
| [unnamed data series #0] | 146.303 | 0.216133 |
| [unnamed data series #0] | 168.19  | 0.347728 |
| [unnamed data series #0] | 170.387 | 0.419374 |
| [unnamed data series #0] | 168.528 | 0.435458 |
| [unnamed data series #0] | 166.077 | 0.309711 |
| [unnamed data series #0] | 164.979 | 0.330182 |
| [unnamed data series #0] | 163.204 | 0.347728 |
| [unnamed data series #0] | 168.359 | 0.529036 |
| [unnamed data series #0] | 167.599 | 0.491751 |
| [unnamed data series #0] | 163.979 | 0.277726 |
| [unnamed data series #0] | 162.923 | 0.288083 |
| [unnamed data series #0] | 162.782 | 0.30636  |
| [unnamed data series #0] | 163.979 | 0.3947   |
| [unnamed data series #0] | 164.965 | 0.373986 |
| [unnamed data series #0] | 165.246 | 0.376423 |
| [unnamed data series #0] | 166.937 | 0.382515 |
| [unnamed data series #0] | 165.176 | 0.452577 |
| [unnamed data series #0] | 162.359 | 0.472073 |
| [unnamed data series #0] | 160.669 | 0.476947 |
| [unnamed data series #0] | 163.908 | 0.498879 |
| [unnamed data series #0] | 165.176 | 0.520812 |
| [unnamed data series #0] | 165.81  | 0.525076 |
| [unnamed data series #0] | 156.303 | 0.229597 |
| [unnamed data series #0] | 154.261 | 0.226551 |
| [unnamed data series #0] | 157.993 | 0.267369 |
| [unnamed data series #0] | 158.768 | 0.309407 |
