|   title |   STRUCTURE |
|       1 |    0.870322 |
|       2 |    0.955539 |
|       3 |    0.951834 |
|       4 |    0.97777  |
|       5 |    0.885143 |
|       6 |    0.944424 |
|       7 |    0.944424 |
|       8 |    0.944424 |
|       1 |    0.657898 |
|       2 |    0.98518  |
|       3 |    0.956774 |
|       4 |    0.97777  |
|       5 |    0.551686 |
|       6 |    0.97777  |
|       7 |    0.899963 |
|       8 |    0.944424 |
|       1 |    0.830802 |
|       2 |    0.954304 |
|       3 |    0.976535 |
|       4 |    0.981475 |
|       5 |    0.929604 |
|       6 |    0.97777  |
|       7 |    0.969124 |
|       8 |    0.976535 |
