| Category         |        X |        Y |
| 1.6-2.3 V Region | 294.37   | 0.475546 |
| 1.6-2.3 V Region | 276.271  | 0.453757 |
| 1.6-2.3 V Region | 270.465  | 0.491109 |
| 1.6-2.3 V Region | 150.259  | 0.453757 |
| 1.6-2.3 V Region | 126.354  | 0.55492  |
| 1.6-2.3 V Region | 122.256  | 0.551807 |
| 1.6-2.3 V Region | 100.4    | 0.601611 |
| 1.6-2.3 V Region |  72.0558 | 0.671647 |
| 1.6-2.3 V Region |  48.151  | 0.671647 |
| 0.8-1.6 V Region | 294.029  | 0.508229 |
| 0.8-1.6 V Region | 276.271  | 0.52068  |
| 0.8-1.6 V Region | 270.124  | 0.519124 |
| 0.8-1.6 V Region | 149.917  | 0.52068  |
| 0.8-1.6 V Region | 126.354  | 0.628069 |
| 0.8-1.6 V Region | 122.597  | 0.637407 |
| 0.8-1.6 V Region | 100.059  | 0.631182 |
| 0.8-1.6 V Region |  71.7143 | 0.707443 |
| 0.8-1.6 V Region |  48.4925 | 0.76036  |
| 0.1-0.8 V Region | 294.37   | 0.509786 |
| 0.1-0.8 V Region | 276.612  | 0.519124 |
| 0.1-0.8 V Region | 270.807  | 0.517567 |
| 0.1-0.8 V Region | 149.576  | 0.52068  |
| 0.1-0.8 V Region | 127.037  | 0.676316 |
| 0.1-0.8 V Region | 122.256  | 0.679429 |
| 0.1-0.8 V Region |  99.717  | 0.679429 |
| 0.1-0.8 V Region |  72.7388 | 0.701218 |
| 0.1-0.8 V Region |  47.8095 | 0.749465 |
