| Category      |           X |         Y |
| 6N01-7N01 FSW |  20.0438    | -10.2993  |
| 6N01-7N01 FSW |  15.1025    |  -9.41967 |
| 6N01-7N01 FSW |   9.95094   |  -7.36714 |
| 6N01-7N01 FSW |   5.11477   |  -5.02138 |
| 6N01-7N01 FSW |   0.173471  |  -4.14172 |
| 6N01-7N01 FSW |  -4.87296   |  -1.20953 |
| 6N01-7N01 FSW |  -9.9194    |  -7.66035 |
| 6N01-7N01 FSW | -14.9658    |  -9.41967 |
| 6N01-7N01 FSW | -19.802     |  -9.71289 |
| 7N01 FSW      | -14.9658    |  -1.20953 |
| 7N01 FSW      |  -9.9194    |  -4.14172 |
| 7N01 FSW      |  -4.87296   |  -2.67563 |
| 7N01 FSW      |  -0.0367969 |   2.60232 |
| 7N01 FSW      |   5.00964   |   2.60232 |
| 7N01 FSW      |   9.95094   |  -9.12645 |
| 7N01 FSW      |  14.9974    |  -0.91631 |
