|   title |   Pre-ban |
|       1 |   8.33927 |
|       2 | 165.502   |
|       3 | 181.54    |
|       4 |  94.9394  |
|       5 |  29.722   |
|       6 |  50.0356  |
|       7 | 348.325   |
|       8 | 470.207   |
|       9 | 431.718   |
|      10 |  72.4875  |
|      11 | 547.185   |
|      12 |  69.2801  |
|      13 | 271.347   |
|      14 | 104.562   |
|      15 | 829.437   |
|      16 | 297.006   |
|      17 | 168.71    |
|      18 | 527.94    |
|      19 |  91.732   |
|      20 | 556.807   |
|      21 |  94.9394  |
|       1 |   8.33927 |
|       2 |  16.8924  |
|       3 |  12.6158  |
|       4 |  14.7541  |
|       5 |  13.4368  |
|       6 |  13.4368  |
|       7 |   8.33927 |
|       8 |   4.06272 |
|       9 |  43.1053  |
|      10 |  16.6442  |
|      11 |   8.33927 |
|      12 |  12.6158  |
|      13 |   8.33927 |
|      14 |   8.33927 |
|      15 |  10.4775  |
|      16 |   8.33927 |
|      17 |  17.9615  |
|      18 |  94.1376  |
|      19 |  25.98    |
|      20 |   6.201   |
|      21 |  11.5467  |
