| title   |   synthetic P wastewater |
| B300    |                13.5799   |
| Mg/B300 |                15.5833   |
| B450    |                13.723    |
| Mg/B450 |                16.2988   |
| B600    |                14.0951   |
| Mg/B600 |                16.6995   |
| B300    |                 2.40404  |
| Mg/B300 |                 1.14478  |
| B450    |                 1.9175   |
| Mg/B450 |                 0.858584 |
| B600    |                 1.65993  |
| Mg/B600 |                 0.772726 |
