|   title |      Short |
|       6 | 0.0157121  |
|       7 | 0.0731424  |
|       8 | 0.00812693 |
|       9 | 0.0281734  |
|      10 | 0.0623065  |
|      11 | 0.0417183  |
|      12 | 0.113777   |
|      13 | 0.0899381  |
|      14 | 0.0514706  |
|      15 | 0.0525542  |
|      16 | 0.0308824  |
|      17 | 0.0260062  |
|       6 | 0.164706   |
|       7 | 0.193421   |
|       8 | 0.237307   |
|       9 | 0.32887    |
|      10 | 0.260062   |
|      11 | 0.238932   |
|      12 | 0.159288   |
|      13 | 0.165789   |
|      14 | 0.112693   |
|      15 | 0.129489   |
|      16 | 0.127864   |
|      17 | 0.0623065  |
|       6 | 0.0899381  |
|       7 | 0.104567   |
|       8 | 0.0747678  |
|       9 | 0.0113777  |
|      10 | 0.0655573  |
|      11 | 0.074226   |
|      12 | 0.0568885  |
|      13 | 0.0417183  |
|      14 | 0.0368421  |
|      15 | 0.0400929  |
|      16 | 0.00108359 |
|      17 | 0.0373839  |
