|   title |    Measured |
|       1 |  4.34694    |
|       2 |  4.07143    |
|       3 |  4.02551    |
|       4 |  3.81122    |
|       5 |  3.53571    |
|       6 |  3.18367    |
|       7 |  3.01531    |
|       8 |  2.67857    |
|       9 |  2.34184    |
|      10 |  1.86735    |
|      11 |  1.56122    |
|      12 |  1.36224    |
|      13 |  1.22449    |
|      14 |  1.20918    |
|      15 |  1.2        |
|      16 |  1.12041    |
|      17 |  1.08673    |
|      18 |  1.06531    |
|      19 |  0.930612   |
|      20 |  0.489796   |
|      21 |  0.440816   |
|      22 |  0.367347   |
|      23 |  0.306122   |
|      24 |  0.306122   |
|      25 |  0.306122   |
|      26 |  0.171429   |
|      27 |  0.134694   |
|      28 |  0.107143   |
|      29 |  0.0795918  |
|      30 |  0.0612245  |
|      31 |  0          ||       1 |  5.14286    |
|       2 |  4.89184    |
|       3 |  4.20918    |
|       4 |  3.30612    |
|       5 |  2.98469    |
|       6 |  2.89286    |
|       7 |  2.87143    |
|       8 |  2.64796    |
|       9 |  2.60204    |
|      10 |  2.26531    |
|      11 |  2.25       |
|      12 |  1.77551    |
|      13 |  1.77551    |
|      14 |  1.59184    |
|      15 |  1.48163    |
|      16 |  1.17857    |
|      17 |  1.10204    |
|      18 |  0.780612   |
|      19 |  0.688776   |
|      20 |  0.382653   |
|      21 |  0.153061   |
|      22 |  0.122449   |
|      23 |  0.107143   |
|      24 |  0.0612245  |
|      25 |  0.0306122  |
|      26 | -0.00612245 |
|      27 |  0          |
|      28 |  0          |
|      29 |  0          |
|      30 | -0.00612245 |
|      31 |  0          |
