| Category   |        X |        Y |
| 25°C       | 19.9331  | 43.2709  |
| 25°C       | 15.0048  | 26.2918  |
| 25°C       |  9.98856 | 22.1757  |
| 25°C       |  4.92828 | 13.7719  |
| 25°C       |  1.98011 |  6.56866 |
| 50°C       | 19.9771  | 36.7536  |
| 50°C       | 15.0488  | 19.2601  |
| 50°C       |  9.94456 | 10.3418  |
| 50°C       |  5.01628 | 10.6848  |
| 50°C       |  2.02411 |  5.53963 |
| 70°C       | 19.9771  | 20.1176  |
| 70°C       | 14.9608  | 14.9724  |
| 70°C       |  9.94456 |  6.22565 |
| 70°C       |  5.01628 |  8.96974 |
| 70°C       |  1.98011 |  4.5106  |
| 90°C       | 19.9771  | 24.4052  |
| 90°C       | 14.9608  | 10.6848  |
| 90°C       |  9.94456 |  7.7692  |
| 90°C       |  5.01628 |  5.53963 |
| 90°C       |  1.98011 |  3.13855 |
