| Category     |           X |          Y |
| peak 4.19 um | 0.00103257  |  0.056702  |
| peak 4.19 um | 0.156477    |  0.105776  |
| peak 4.19 um | 0.273825    |  0.218565  |
| peak 4.19 um | 0.423858    |  0.481351  |
| peak 4.19 um | 0.509865    |  0.725019  |
| peak 4.19 um | 0.604255    |  1.18119   |
| peak 4.19 um | 0.710421    |  1.92404   |
| peak 4.19 um | 0.822384    |  2.7642    |
| peak 4.19 um | 0.94236     |  4.01933   |
| peak 4.19 um | 1.07466     |  6.61377   |
| peak 4.19 um | 1.20619     |  9.60602   |
| peak 4.19 um | 1.28046     | 12.2611    |
| base 4.74    | 0.000773694 |  0.170088  |
| base 4.74    | 0.156599    |  0.254544  |
| base 4.74    | 0.273896    |  0.390931  |
| base 4.74    | 0.424       |  0.739826  |
| base 4.74    | 0.511412    |  1.00865   |
| base 4.74    | 0.605803    |  1.38324   |
| base 4.74    | 0.709478    |  1.98042   |
| base 4.74    | 0.822437    |  2.79501   |
| base 4.74    | 0.943133    |  3.72454   |
| base 4.74    | 1.06692     |  5.25652   |
| base 4.74    | 1.20774     |  7.00465   |
| base 4.74    | 1.27697     |  8.29599   |
| base 3.77    | 0.00116054  |  0.0181178 |
| base 3.77    | 0.156357    |  0.0317059 |
| base 3.77    | 0.273607    |  0.0717555 |
| base 3.77    | 0.423598    |  0.193545  |
| base 3.77    | 0.510653    |  0.314869  |
| base 3.77    | 0.606039    |  0.51354   |
| base 3.77    | 0.710251    |  0.827975  |
| base 3.77    | 0.822621    |  1.28692   |
| base 3.77    | 0.94236     |  1.99959   |
| base 3.77    | 1.07002     |  2.9496    |
| base 3.77    | 1.20626     |  4.4965    |
| base 3.77    | 1.27776     |  5.56719   |
