| Category   |   first quartile |       max |    median |       min |   third quartile | x          |
| HC         |        36533.6   | 75353.6   | 48804.2   | 20053.1   |        63861.4   | miR-21-5p  |
| HC         |          620.881 |  1063.09  |   846.752 |   265.888 |          999.129 | miR-23a-3p |
| HC         |        11471.9   | 19240.4   | 14402.9   |  6041.67  |        16306.1   | miR-26b-5p |
| HC         |         2238.54  |  4713.67  |  3316.23  |  1203.57  |         3994.79  | miR-27a-3p |
| HC         |         3677.57  |  5917.99  |  4250.53  |  1897.14  |         5015.44  | miR-27b-3p |
| HC         |          674.437 |  1020.01  |   812.437 |   436.812 |          939.014 | miR-29b-3p |
| HC         |         8239.57  | 14108.1   |  9328.33  |  4912.76  |        11711.7   | miR-30e-5p |
| HC         |         9137.36  | 14402.9   | 11007     |  3754.43  |        13536.3   | miR-142-3p |
| HC         |         1550.65  |  3813.13  |  2050.15  |   833.717 |         2884.09  | miR-155-5p |
| HC         |         1503.28  |  3265.19  |  1867.94  |   736.41  |         2547.47  | miR-221-3p |
| SPMS       |        24156.3   | 45867.8   | 31609     | 18082.8   |        37297.2   | miR-21-5p  |
| SPMS       |          464.777 |   702.923 |   559.877 |   377.931 |          633.858 | miR-23a-3p |
| SPMS       |         8587.59  | 12721.9   | 10133     |  5917.99  |        12461.4   | miR-26b-5p |
| SPMS       |         1480.14  |  2869.22  |  2018.6   |  1480.14  |         2641.38  | miR-27a-3p |
| SPMS       |         2641.38  |  6699.97  |  3456.3   |  2103.85  |         4812.19  | miR-27b-3p |
| SPMS       |          377.931 |  1041.33  |   494.531 |   326.987 |          702.923 | miR-29b-3p |
| SPMS       |         5678.16  | 10133     |  6982.96  |  3754.43  |         8239.57  | miR-30e-5p |
| SPMS       |         4713.67  | 15645.3   |  7430     |  4078.28  |        10133     | miR-142-3p |
| SPMS       |         1247.93  |  1810.87  |  1480.14  |   795.805 |         1675.72  | miR-155-5p |
| SPMS       |         1068.6   |  1867.94  |  1287.26  |   611.324 |         1649.92  | miR-221-3p |
