| title     |   High use |
| 2000-2001 | 0.0211466  |
| 2002      | 0.0211466  |
| 2003      | 0.0281955  |
| 2004      | 0.0422932  |
| 2005      | 0.056391   |
| 2006      | 0.0634398  |
| 2007      | 0.0775376  |
| 2008      | 0.0845865  |
| 2009      | 0.105733   |
| 2000-2001 | 0.199718   |
| 2002      | 0.234962   |
| 2003      | 0.298402   |
| 2004      | 0.340695   |
| 2005      | 0.453477   |
| 2006      | 0.542763   |
| 2007      | 0.613252   |
| 2008      | 0.655545   |
| 2009      | 0.669643   |
| 2000-2001 | 0.467575   |
| 2002      | 0.472274   |
| 2003      | 0.479323   |
| 2004      | 0.493421   |
| 2005      | 0.425282   |
| 2006      | 0.357143   |
| 2007      | 0.303101   |
| 2008      | 0.253759   |
| 2009      | 0.227914   |
| 2000-2001 | 0.317199   |
| 2002      | 0.270207   |
| 2003      | 0.197368   |
| 2004      | 0.12453    |
| 2005      | 0.0704887  |
| 2006      | 0.0422932  |
| 2007      | 0.0140977  |
| 2008      | 0.0093985  |
| 2009      | 0.00704887 |
