| Category                                 |        X |         Y |
| Scenario 1: Blended Diet                 | 1.60712  | 0.0485922 |
| Scenario 1: Blended Diet                 | 1.97271  | 0.0990374 |
| Scenario 1: Blended Diet                 | 2.2297   | 0.147938  |
| Scenario 1: Blended Diet                 | 2.39621  | 0.198898  |
| Scenario 1: Blended Diet                 | 2.60615  | 0.247799  |
| Scenario 1: Blended Diet                 | 2.74369  | 0.298245  |
| Scenario 1: Blended Diet                 | 2.96087  | 0.34766   |
| Scenario 1: Blended Diet                 | 3.13823  | 0.39862   |
| Scenario 1: Blended Diet                 | 3.33008  | 0.446492  |
| Scenario 1: Blended Diet                 | 3.45676  | 0.499511  |
| Scenario 1: Blended Diet                 | 3.63051  | 0.547383  |
| Scenario 1: Blended Diet                 | 3.71376  | 0.598857  |
| Scenario 1: Blended Diet                 | 3.93818  | 0.648788  |
| Scenario 1: Blended Diet                 | 4.11916  | 0.698718  |
| Scenario 1: Blended Diet                 | 4.2748   | 0.747105  |
| Scenario 1: Blended Diet                 | 4.52456  | 0.800124  |
| Scenario 1: Blended Diet                 | 4.76346  | 0.850054  |
| Scenario 1: Blended Diet                 | 5.11094  | 0.896381  |
| Scenario 1: Blended Diet                 | 5.5091   | 0.949915  |
| Scenario 2: Bt grain and Bt DDGS         | 0.745647 | 0.0501364 |
| Scenario 2: Bt grain and Bt DDGS         | 0.962826 | 0.0995522 |
| Scenario 2: Bt grain and Bt DDGS         | 1.13657  | 0.152056  |
| Scenario 2: Bt grain and Bt DDGS         | 1.28859  | 0.201472  |
| Scenario 2: Bt grain and Bt DDGS         | 1.44062  | 0.249344  |
| Scenario 2: Bt grain and Bt DDGS         | 1.59264  | 0.300304  |
| Scenario 2: Bt grain and Bt DDGS         | 1.73381  | 0.352808  |
| Scenario 2: Bt grain and Bt DDGS         | 1.91841  | 0.399135  |
| Scenario 2: Bt grain and Bt DDGS         | 2.10302  | 0.448551  |
| Scenario 2: Bt grain and Bt DDGS         | 2.23332  | 0.501055  |
| Scenario 2: Bt grain and Bt DDGS         | 2.39621  | 0.550471  |
| Scenario 2: Bt grain and Bt DDGS         | 2.54823  | 0.599887  |
| Scenario 2: Bt grain and Bt DDGS         | 2.73283  | 0.649303  |
| Scenario 2: Bt grain and Bt DDGS         | 2.96087  | 0.700263  |
| Scenario 2: Bt grain and Bt DDGS         | 3.18891  | 0.751223  |
| Scenario 2: Bt grain and Bt DDGS         | 3.40609  | 0.800638  |
| Scenario 2: Bt grain and Bt DDGS         | 3.6667   | 0.851598  |
| Scenario 2: Bt grain and Bt DDGS         | 3.99247  | 0.901014  |
| Scenario 2: Bt grain and Bt DDGS         | 4.58971  | 0.948886  |
| Scenario 3: non-Bt grain and non-Bt DDGS | 1.83154  | 0.0485922 |
| Scenario 3: non-Bt grain and non-Bt DDGS | 2.30934  | 0.0980079 |
| Scenario 3: non-Bt grain and non-Bt DDGS | 2.74369  | 0.150512  |
| Scenario 3: non-Bt grain and non-Bt DDGS | 3.08032  | 0.199928  |
| Scenario 3: non-Bt grain and non-Bt DDGS | 3.46038  | 0.250888  |
| Scenario 3: non-Bt grain and non-Bt DDGS | 3.73186  | 0.301848  |
| Scenario 3: non-Bt grain and non-Bt DDGS | 4.01419  | 0.349719  |
| Scenario 3: non-Bt grain and non-Bt DDGS | 4.26394  | 0.402224  |
