|   title |   10 subs. |
|       2 |   100.002  |
|       4 |   100.002  |
|       6 |   100.001  |
|       8 |    99.9803 |
|      10 |    99.8389 |
|      12 |    99.8218 |
|      14 |    99.5049 |
|       2 |   100.002  |
|       4 |   100.002  |
|       6 |   100.003  |
|       8 |   100      |
|      10 |    99.8987 |
|      12 |    99.8028 |
|      14 |    99.7013 |
|       2 |   100.002  |
|       4 |   100.003  |
|       6 |   100.002  |
|       8 |   100      |
|      10 |    99.9015 |
|      12 |    99.9015 |
|      14 |    99.9015 |
|       2 |   100.002  |
|       4 |   100.001  |
|       6 |   100.002  |
|       8 |    99.9813 |
|      10 |    99.9983 |
|      12 |   100.001  |
|      14 |    99.8987 |
|       2 |   100.002  |
|       4 |   100.001  |
|       6 |   100.003  |
|       8 |   100      |
|      10 |   100      |
|      12 |   100.002  |
|      14 |    99.9651 |
