| Category   |          X |        Y |
| 0 dpa      | 0.0117966  |  65.9046 |
| 0 dpa      | 0.020339   | 130.548  |
| 0 dpa      | 0.0288814  | 188.885  |
| 0 dpa      | 0.0431186  | 300.828  |
| 0 dpa      | 0.0618305  | 453.764  |
| 0 dpa      | 0.0781017  | 572.014  |
| 0 dpa      | 0.092339   | 657.154  |
| 0 dpa      | 0.113492   | 715.491  |
| 0 dpa      | 0.130169   | 739.141  |
| 0 dpa      | 0.143593   | 737.564  |
| 0 dpa      | 0.151322   | 735.987  |
| 0 dpa      | 0.153356   | 687.111  |
| 0 dpa      | 0.156203   | 625.621  |
| 0.0034 dpa | 0.00894915 |  45.408  |
| 0.0034 dpa | 0.0191186  | 113.205  |
| 0.0034 dpa | 0.0252203  | 160.505  |
| 0.0034 dpa | 0.0301017  | 212.534  |
| 0.0034 dpa | 0.0481356  | 340.77   |
| 0.0034 dpa | 0.0585763  | 426.961  |
| 0.0034 dpa | 0.0691525  | 464.275  |
| 0.0034 dpa | 0.0904407  | 488.976  |
| 0.0034 dpa | 0.113356   | 480.568  |
| 0.0034 dpa | 0.136      | 459.545  |
| 0.0034 dpa | 0.154983   | 441.151  |
| 0.0034 dpa | 0.168      | 417.501  |
| 0.0034 dpa | 0.177356   | 384.391  |
| 0.0034 dpa | 0.183864   | 311.864  |
| 0.0034 dpa | 0.183864   | 253.528  |
| 1 dpa      | 0.0146441  |  80.0946 |
| 1 dpa      | 0.0321356  | 169.965  |
| 1 dpa      | 0.0475932  | 247.221  |
| 1 dpa      | 0.0577627  | 296.098  |
| 1 dpa      | 0.0667119  | 340.244  |
| 1 dpa      | 0.0724068  | 360.741  |
| 1 dpa      | 0.0748475  | 360.741  |
| 1 dpa      | 0.0764746  | 360.741  |
| 1 dpa      | 0.0797288  | 360.741  |
| 1 dpa      | 0.0809492  | 354.434  |
| 1 dpa      | 0.0846102  | 348.128  |
| 1 dpa      | 0.0878644  | 343.398  |
| 1 dpa      | 0.0919322  | 332.361  |
| 2 dpa      | 0.0988475  | 398.581  |
| 2 dpa      | 0.0980339  | 412.771  |
| 2 dpa      | 0.0943729  | 430.114  |
| 2 dpa      | 0.0878644  | 445.881  |
| 2 dpa      | 0.0813559  | 430.114  |
| 2 dpa      | 0.0760678  | 397.004  |
| 2 dpa      | 0.0634576  | 341.821  |
| 2 dpa      | 0.0500339  | 272.448  |
| 2 dpa      | 0.0341695  | 188.885  |
| 2 dpa      | 0.0178983  |  97.4379 |
