|   title |   2008/09 |
|       1 |  9.5019   |
|       2 |  9.5019   |
|       3 |  8.12362  |
|       4 |  8.00877  |
|       5 |  7.20477  |
|       6 |  6.74535  |
|       7 |  6.51563  |
|       8 |  6.40078  |
|       9 |  6.28592  |
|      10 |  6.17107  |
|      11 |  6.17107  |
|      12 |  5.59678  |
|      13 |  5.59678  |
|      14 |  5.25222  |
|      15 |  5.13736  |
|      16 |  5.0225   |
|      17 |  4.44822  |
|      18 |  3.06995  |
|      19 |  2.72538  |
|      20 |  2.26595  |
|      21 |  1.92138  |
|      22 |  1.69167  |
|      23 |  1.57681  |
|      24 |  0.214945 ||       1 |  9.38704  |
|       2 |  7.31963  |
|       3 |  1.00253  |
|       4 |  4.56308  |
|       5 |  1.11739  |
|       6 |  3.52937  |
|       7 |  2.95509  |
|       8 |  7.31963  |
|       9 |  4.44822  |
|      10 |  1.3471   |
|      11 |  1.69167  |
|      12 |  3.1848   |
|      13 |  6.8602   |
|      14 |  5.0225   |
|      15 |  3.52937  |
|      16 |  3.52937  |
|      17 |  0.42825  |
|      18 |  7.08992  |
|      19 |  2.84023  |
|      20 |  4.79279  |
|      21 | 12.7179   |
|      22 |  0.214945 |
|      23 |  5.48193  |
|      24 |  0.214945 ||       1 |  8.09081  |
|       2 |  5.13736  |
|       3 | 13.0624   |
|       4 |  8.00877  |
|       5 | 13.0624   |
|       6 | 10.0762   |
|       7 | 16.0487   |
|       8 | 10.0762   |
|       9 |  9.04247  |
|      10 |  2.03624  |
|      11 | 25.0075   |
|      12 | 33.031    |
|      13 |  8.12362  |
|      14 | 18.0013   |
|      15 |  6.05621  |
|      16 |  8.00877  |
|      17 |  2.03624  |
|      18 |  7.08992  |
|      19 |  3.06995  |
|      20 |  5.0225   |
|      21 | 20.0687   |
|      22 | 10.995    |
|      23 |  7.08992  |
|      24 |  0.214945 |
