| Category   |           X |        Y |
| 4284A up   |  1.49722    | 870.215  |
| 4284A up   |  1.35291    | 863.144  |
| 4284A up   |  1.20305    | 857.842  |
| 4284A up   |  1.04764    | 847.236  |
| 4284A up   |  0.90333    | 840.165  |
| 4284A up   |  0.753469   | 827.791  |
| 4284A up   |  0.603608   | 808.347  |
| 4284A up   |  0.453747   | 785.368  |
| 4284A up   |  0.298335   | 750.015  |
| 4284A up   |  0.148474   | 686.379  |
| 4284A up   | -0.0013876  | 566.179  |
| 4284A up   | -0.151249   | 377.04   |
| 4284A up   | -0.29556    | 221.487  |
| 4284A up   | -0.450971   | 143.71   |
| 4284A up   | -0.600833   |  62.3981 |
| 4284A up   | -0.750694   |  37.651  |
| 4284A up   | -0.906105   |  34.1157 |
| 4284A up   | -1.19473    |  28.8127 |
| 4284A up   | -1.04487    |  32.348  |
| 4284A up   | -1.35014    |  27.0451 |
| 4284A up   | -1.50555    |  23.5098 |
| 4284A down |  1.49722    | 870.215  |
| 4284A down |  1.35291    | 857.842  |
| 4284A down |  1.20305    | 850.771  |
| 4284A down |  1.04209    | 840.165  |
| 4284A down |  0.89778    | 831.327  |
| 4284A down |  0.753469   | 818.953  |
| 4284A down |  0.598057   | 799.509  |
| 4284A down |  0.448196   | 771.227  |
| 4284A down |  0.303885   | 727.035  |
| 4284A down |  0.148474   | 649.259  |
| 4284A down |  0.00416281 | 504.311  |
| 4284A down | -0.151249   | 309.869  |
| 4284A down | -0.30111    | 198.507  |
| 4284A down | -0.445421   | 115.428  |
| 4284A down | -0.600833   |  46.4892 |
| 4284A down | -0.750694   |  35.8833 |
| 4284A down | -0.900555   |  32.348  |
| 4284A down | -1.04487    |  30.5804 |
| 4284A down | -1.20028    |  30.5804 |
| 4284A down | -1.34459    |  27.0451 |
| 4284A down | -1.50555    |  27.0451 |
