|   title |   WFCM without denoising |
|       1 |                  32.8355 |
|       2 |                  31.2514 |
|       3 |                  31.6028 |
|       4 |                  35.1007 |
|       5 |                  33.3761 |
|       6 |                  30.1485 |
|       7 |                  29.5051 |
|       1 |                  33.614  |
|       2 |                  30.8243 |
|       3 |                  32.8355 |
|       4 |                  33.1166 |
|       5 |                  35.4143 |
|       6 |                  32.2245 |
|       7 |                  31.5379 |
|       1 |                  32.8355 |
|       2 |                  31.2568 |
|       3 |                  31.7542 |
|       4 |                  32.3651 |
|       5 |                  33.3491 |
|       6 |                  30.1755 |
|       7 |                  29.5646 |
|       1 |                  34.652  |
|       2 |                  33.1544 |
|       3 |                  33.0085 |
|       4 |                  33.1815 |
|       5 |                  33.0085 |
|       6 |                  30.8081 |
|       7 |                  31.6028 |
