| Category   |        X |           Y |
| PY         | 73.1357  |  0.478918   |
| PY         | 72.0659  |  0.0668258  |
| PY         | 71.1989  |  0.089101   |
| PY         | 70.0922  |  0.089101   |
| PY         | 69.17    |  1.0358     |
| PY         | 68.2016  |  0.00556881 |
| PY         | 67.0949  |  0.089101   |
| PY         | 66.1265  |  0.172633   |
| PY         | 65.1581  |  0.089101   |
| PY         | 64.1206  |  1.04972    |
| PY         | 63.2213  |  0.089101   |
| PY         | 62.1838  |  0.089101   |
| PY         | 61.1462  |  1.38385    |
| PY         | 60.1779  |  0.089101   |
| PY         | 59.0711  |  0.089101   |
| PY         | 58.1719  |  1.13325    |
| PY         | 56.166   |  1.13325    |
| PY         | 57.0652  |  0.089101   |
| PY         | 55.1285  |  0.297932   |
| PY         | 54.2292  |  0.256165   |
| PY         | 53.1917  |  0.256165   |
| PY         | 52.1542  |  0.339698   |
| PY         | 51.1858  |  0.130867   |
| PY         |  1.17589 |  0.089101   |
| PY         |  2.00593 |  0.089101   |
| PY         |  3.04348 |  0.089101   |
| PY         |  5.94862 |  0.089101   |
| PY         |  7.05534 |  0.089101   |
| PY         | 12.0356  |  0.715593   |
| PY         |  5.04941 |  0.673827   |
| PY         |  8.99209 |  1.67621    |
| PY         | 13.0731  |  2.88743    |
| PY         |  8.02372 |  3.05449    |
| PY         |  4.08103 |  2.76213    |
| PY         | 18.0534  |  0.673827   |
| PY         | 19.0909  |  0.42323    |
| PY         | 21.0968  |  0.673827   |
| PY         | 22.0652  |  0.130867   |
| PY         | 23.0336  |  0.089101   |
| PY         | 26.0079  |  0.172633   |
| PY         | 28.1522  |  0.381464   |
| PY         | 33.1324  |  0.757359   |
| PY         | 34.1008  |  0.339698   |
| PY         | 35.1383  |  0.089101   |
| PY         | 36.0375  |  0.339698   |
| PY         | 44.0613  |  3.63922    |
| PY         | 42.0553  |  1.59268    |
| PY         | 43.2312  |  1.67621    |
| PY         | 45.2372  |  0.0473349  |
| PY         | 46.1364  |  0.256165   |
| PY         | 47.2431  |  0.966189   |
| PY         | 48.0731  |  0.924423   |
| PY         | 49.1798  |  0.966189   |
| PY         | 50.1482  |  0.924423   |
| PY         | 11.0672  | 26.4435     |
| PY         | 14.0415  | 26.4435     |
| PY         | 10.0988  | 17.5473     |
| PY         | 16.1166  | 21.5569     |
| PY         | 15.0791  | 16.4196     |
| PY         | 17.085   | 17.4638     |
| PY         | 20.0593  | 16.4614     |
| PY         | 27.1146  | 18.0903     |
| PY         | 24.1403  | 24.564      |
| PY         | 25.0395  | 24.6476     |
| PY         | 29.1206  | 24.9817     |
| PY         | 30.0889  | 25.4411     |
| PY         | 32.0257  | 25.4411     |
| PY         | 37.1443  | 25.2741     |
| PY         | 40.0494  | 24.9399     |
| PY         | 31.0573  | 21.8492     |
| PY         | 38.1126  | 22.8516     |
| PY         | 39.081   | 22.7681     |
| PY         | 41.0178  | 21.9745     |
