| title          |   All-cause mortality |
| <0.60          |              64.2857  |
| 0.60<0.70      |              52       |
| 0.70<0.80      |              42       |
| 0.80<0.90      |              34.8571  |
| 0.90<1.0       |              27.7143  |
| 1.0<1.10       |              19.4286  |
| 1.1<1.2        |              17.4286  |
| 1.2<1.3        |              16.5714  |
| 1.30<1.40      |              18.5714  |
| 1.40<1.50      |              24.5714  |
| >=1.50         |              29.7143  |
| Incompressible |              65.7143  |
| <0.60          |              39.1429  |
| 0.60<0.70      |              22.8571  |
| 0.70<0.80      |              28.2857  |
| 0.80<0.90      |              10.2857  |
| 0.90<1.0       |              11.1429  |
| 1.0<1.10       |               5.14286 |
| 1.1<1.2        |               3.14286 |
| 1.2<1.3        |               4.28571 |
| 1.30<1.40      |               1.71429 |
| 1.40<1.50      |               8.28571 |
| >=1.50         |              10.2857  |
| Incompressible |              20       |
