| Category   |         X |       Y |
| SbST       |  78.2846  | 92.0597 |
| SbST       |  80.9146  | 72.2484 |
| SbST       |  94.0858  | 84.9057 |
| SbST       |  97.5217  | 86.4296 |
| SbST       |  97.0339  | 89.4987 |
| SbST       |  94.4888  | 89.5198 |
| SbST       |  96.8642  | 92.1232 |
| SbST       |  98.2853  | 94.7055 |
| SbST       | 100.958   | 91.3824 |
| SbST       |  98.1287  | 87.7248 |
| CladHC     |  44.0008  | 89.4352 |
| CladHC     |  60.7928  | 86.6322 |
| CladHC     |  65.8043  | 86.4175 |
| CladHC     |  70.3735  | 84.7363 |
| CladHC     |  71.7309  | 86.7683 |
| CladHC     |  71.9005  | 91.8481 |
| CladHC     |  82.6962  | 89.8162 |
| CladHC     |  15.992   | 92.1021 |
| CladHC     |   1.25137 | 94.1763 |
| CladHC     |  32.5652  | 72.7286 |
