| Category   |        X |         Y |
| 0.1 MPa    |  7.11806 |  99.9767  |
| 0.1 MPa    |  6.40625 |  89.9534  |
| 0.1 MPa    |  5.90278 |  80.0466  |
| 0.1 MPa    |  5.10417 |  70.0233  |
| 0.1 MPa    |  4.70486 |  60.1166  |
| 0.1 MPa    |  4.49653 |  49.9767  |
| 0.1 MPa    |  3.40278 |  40.0699  |
| 0.1 MPa    |  2.30903 |  30.0466  |
| 0.1 MPa    |  1.90972 |  20.0233  |
| 0.1 MPa    |  1.59722 |  10       |
| 5 MPa      | 11.5104  | 100.093   |
| 5 MPa      | 10.5035  |  93.7995  |
| 5 MPa      | 10.2083  |  87.5058  |
| 5 MPa      |  9.11458 |  81.3287  |
| 5 MPa      |  8.50694 |  75.035   |
| 5 MPa      |  7.20486 |  68.7413  |
| 5 MPa      |  6.90972 |  62.5641  |
| 5 MPa      |  6.71875 |  56.2704  |
| 5 MPa      |  6.51042 |  49.9767  |
| 5 MPa      |  6.11111 |  43.7995  |
| 5 MPa      |  5.20833 |  37.5058  |
| 5 MPa      |  3.90625 |  31.3287  |
| 5 MPa      |  3.40278 |  25.035   |
| 5 MPa      |  2.60417 |  18.7413  |
| 5 MPa      |  2.11806 |  12.5641  |
| 5 MPa      |  1.90972 |   6.38695 |
| 10 MPa     | 15.7118  |  99.9767  |
| 10 MPa     | 13.1076  |  96.014   |
| 10 MPa     | 11.8056  |  92.0513  |
| 10 MPa     | 11.3021  |  88.2051  |
| 10 MPa     | 10.9028  |  84.1259  |
| 10 MPa     | 10.2083  |  80.1632  |
| 10 MPa     |  9.89583 |  76.2005  |
| 10 MPa     |  9.40972 |  72.0047  |
| 10 MPa     |  8.50694 |  68.042   |
| 10 MPa     |  8.09028 |  64.0793  |
| 10 MPa     |  7.70833 |  60.1166  |
| 10 MPa     |  7.29167 |  56.1538  |
| 10 MPa     |  6.99653 |  51.958   |
| 10 MPa     |  6.78819 |  48.1119  |
| 10 MPa     |  6.42361 |  44.0326  |
| 10 MPa     |  6.00694 |  40.0699  |
| 10 MPa     |  5.39931 |  36.2238  |
| 10 MPa     |  4.91319 |  32.1445  |
| 10 MPa     |  4.39236 |  28.0653  |
| 10 MPa     |  4.09722 |  24.1026  |
| 10 MPa     |  3.59375 |  20.1399  |
| 10 MPa     |  3.10764 |  16.0606  |
| 10 MPa     |  2.65625 |  12.2145  |
| 10 MPa     |  2.25694 |   8.1352  |
| 10 MPa     |  1.94444 |   3.93939 |
