|   title |   Heroin |
|    2008 |      214 |
|    2009 |      252 |
|    2010 |      213 |
|    2011 |      311 |
|    2012 |      474 |
|    2013 |      650 |
|    2014 |     1131 |
|    2015 |     1371 |
|    2008 |      396 |
|    2009 |      379 |
|    2010 |      363 |
|    2011 |      315 |
|    2012 |      268 |
|    2013 |      245 |
|    2014 |      183 |
|    2015 |      159 |
|    2008 |     2061 |
|    2009 |     2073 |
|    2010 |     2264 |
|    2011 |     2390 |
|    2012 |     2423 |
|    2013 |     2282 |
|    2014 |     2297 |
|    2015 |     2306 |
