|   title |      PUFA |
|       0 | 44.437    |
|       1 | 22.4571   |
|       2 | 18.699    |
|       3 |  8.0181   |
|       4 |  3.66662  |
|       5 |  1.49088  |
|       6 |  1.19418  |
|       7 |  0.378282 |
|       8 |  0.378282 |
|       9 |  0.106315 |
|      10 |  0.106315 |
|      11 |  0.205212 |
|      12 |  0.205212 |
|      13 |  0.106315 |
|      14 |  0.106315 |
|      15 |  0.106315 |
|      16 |  0.106315 |
|      17 |  0.205212 |
|      18 |  0.106315 |
|      19 |  0.106315 |
|      20 |  0.304109 |
|       0 | 17.7348   |
|       1 | 16.6222   |
|       2 | 17.2897   |
|       3 | 13.9519   |
|       4 | 10.8367   |
|       5 |  7.49889  |
|       6 |  4.1611   |
|       7 |  3.49355  |
|       8 |  3.46882  |
|       9 |  1.49088  |
|      10 |  1.49088  |
|      11 |  1.19418  |
|      12 |  0.378282 |
|      13 |  0.378282 |
|      14 |  0.699698 |
|      15 |  0.378282 |
|      16 |  0.699698 |
|      17 |  0.205212 |
|      18 |  0.106315 |
|      19 |  0.205212 |
|      20 |  0.378282 |
