| title    |   Maternal under 30 |
| 0-0.05   |            0.582524 |
| 0.05-0.1 |            2.05502  |
| 0.1-0.15 |            1.68285  |
| 0.15-0.2 |            1.76375  |
| 0.2-0.25 |            1.71521  |
| 0.25-0.3 |            2.08738  |
| 0.3-0.35 |            2.34628  |
| 0.35-0.4 |            2.28155  |
| 0.4-0.45 |            2.02265  |
| 0.45-0.5 |            1.74757  |
| 0.5-0.55 |            2.00647  |
| 0.55-0.6 |            2.16828  |
| 0.6-0.65 |            2.16828  |
| 0.65-0.7 |            2.20065  |
| 0.7-0.75 |            2.39482  |
| 0.75-0.8 |            2.57282  |
| 0.8-0.85 |            3.31715  |
| 0.85-0.9 |            3.34951  |
| 0.9-0.95 |            2.8479   |
| 0.95-1   |            1.53722  |
| 0-0.05   |            0.582524 |
| 0.05-0.1 |            1.76375  |
| 0.1-0.15 |            1.44649  |
| 0.15-0.2 |            2.0712   |
| 0.2-0.25 |            1.79612  |
| 0.25-0.3 |            2.0712   |
| 0.3-0.35 |            2.02265  |
| 0.35-0.4 |            1.52104  |
| 0.4-0.45 |            1.45631  |
| 0.45-0.5 |            1.27832  |
| 0.5-0.55 |            1.53722  |
| 0.55-0.6 |            1.58576  |
| 0.6-0.65 |            2.10356  |
| 0.65-0.7 |            2.18447  |
| 0.7-0.75 |            1.68285  |
| 0.75-0.8 |            2.29773  |
| 0.8-0.85 |            2.50809  |
| 0.85-0.9 |            2.75081  |
| 0.9-0.95 |            2.81553  |
| 0.95-1   |            1.05178  |
| 0-0.05   |            0.161812 |
| 0.05-0.1 |            0.605062 |
| 0.1-0.15 |            0.96914  |
| 0.15-0.2 |            0.774965 |
| 0.2-0.25 |            0.952959 |
| 0.25-0.3 |            1.11477  |
| 0.3-0.35 |            0.92233  |
| 0.35-0.4 |            1.05005  |
| 0.4-0.45 |            0.857605 |
| 0.45-0.5 |            1.05178  |
| 0.5-0.55 |            1.00324  |
| 0.55-0.6 |            0.799237 |
| 0.6-0.65 |            1.14887  |
| 0.65-0.7 |            1.11477  |
| 0.7-0.75 |            1.31068  |
| 0.75-0.8 |            1.88338  |
| 0.8-0.85 |            1.95793  |
| 0.85-0.9 |            2.88026  |
| 0.9-0.95 |            3.6246   |
| 0.95-1   |            4.30421  |
| 0-0.05   |            0.210356 |
| 0.05-0.1 |            0.679612 |
| 0.1-0.15 |            0.825243 |
| 0.15-0.2 |            0.760518 |
| 0.2-0.25 |            0.873786 |
| 0.25-0.3 |            1.01942  |
| 0.3-0.35 |            0.906149 |
| 0.35-0.4 |            0.987055 |
| 0.4-0.45 |            0.954693 |
| 0.45-0.5 |            1.06796  |
| 0.5-0.55 |            0.954693 |
| 0.55-0.6 |            0.631068 |
| 0.6-0.65 |            1.22977  |
| 0.65-0.7 |            0.987055 |
| 0.7-0.75 |            1.18123  |
| 0.75-0.8 |            1.76375  |
| 0.8-0.85 |            1.8932   |
| 0.85-0.9 |            2.76699  |
| 0.9-0.95 |            3.60841  |
| 0.95-1   |            4.23775  |
