| Category   |   first quartile |         max |     median |        min |   third quartile | x   |
| ARRM       |       -0.0126783 | -0.0126783  | -0.0126783 | -0.0126783 |       -0.0126783 | Apr |
| ARRM       |       -0.0380349 | -0.0380349  | -0.0380349 | -0.0380349 |       -0.0380349 | May |
| ARRM       |       -0.209192  |  0.354992   |  0.0760697 | -0.266244  |        0.240887  | Jun |
| ARRM       |       -1.03328   |  0.00633914 | -0.557845  | -1.10935   |       -0.291601  | Jul |
| ARRM       |        0.0697306 |  0.652932   |  0.177496  | -0.0380349 |        0.354992  | Aug |
| ARRM       |       -0.171157  |  0.044374   | -0.101426  | -0.316957  |       -0.0126783 | Sep |
| BCCA       |       -0.0126783 | -0.0126783  | -0.0126783 | -0.0126783 |       -0.0126783 | Apr |
| BCCA       |       -0.0507132 | -0.0507132  | -0.0507132 | -0.0507132 |       -0.0507132 | May |
| BCCA       |       -0.335975  | -0.120444   | -0.253566  | -0.418384  |       -0.202853  | Jun |
| BCCA       |       -1.76862   | -1.21078    | -1.49604   | -2.05388   |       -1.36926   | Jul |
| BCCA       |       -0.969889  | -0.729002   | -0.912837  | -1.01426   |       -0.81141   | Aug |
| BCCA       |       -0.266244  | -0.120444   | -0.228209  | -0.304279  |       -0.228209  | Sep |
