| Category       |          X |         Y |
| EC             |  0.199079  |  0        |
| EC             |  5.07652   | 59.2593   |
| EC             | 10.0535    | 89.1975   |
| EC             | 15.0305    | 97.5309   |
| EC             | 19.9079    | 99.0741   |
| EC             | 24.8849    | 99.6914   |
| UVEC           | 34.7393    | 99.0741   |
| UVEC           | 29.9614    | 97.8395   |
| UVEC           | 25.084     | 96.6049   |
| UVEC           | 20.2065    | 93.2099   |
| UVEC           | 15.0305    | 90.1235   |
| UVEC           | 10.0535    | 79.6296   |
| UVEC           |  5.07652   | 52.4691   |
| UVEC           |  0.199079  |  0        |
| 5min EC + UVEC | -0.0995396 | -0.925926 |
| 5min EC + UVEC |  5.17606   | 54.321    |
| 5min EC + UVEC | 15.0305    | 94.4444   |
| 5min EC + UVEC | 24.9844    | 98.4568   |
| 5min EC + UV   | 34.9384    | 62.3457   |
| 5min EC + UV   | 24.9844    | 61.1111   |
| 5min EC + UV   | 14.9309    | 60.4938   |
| 5min EC + UV   |  5.07652   | 60.1852   |
| 10min EC + UV  |  0.0995396 | -0.308642 |
| 10min EC + UV  |  5.17606   | 57.4074   |
| 10min EC + UV  | 10.153     | 81.4815   |
| 10min EC + UV  | 14.9309    | 82.0988   |
| 10min EC + UV  | 20.0075    | 83.0247   |
| 10min EC + UV  | 30.1605    | 83.3333   |
| 10min EC + UV  | 39.9154    | 84.5679   |
