| title   |    Coarse |
| Na      | 0.418502  |
| Mg      | 0.528634  |
| Al      | 0.572687  |
| K       | 0.165198  |
| Ti      | 0.517621  |
| V       | 0.0704846 |
| Cr      | 0.367841  |
| Mn      | 0.262115  |
| Fe      | 0.431718  |
| Ni      | 0.292952  |
| Cu      | 0.198238  |
| Zn      | 0.101322  |
| Cd      | 0.0286344 |
| Pb      | 0.0748899 |
| Na      | 0.517621  |
| Mg      | 0.407489  |
| Al      | 0.361233  |
| K       | 0.751101  |
| Ti      | 0.361233  |
| V       | 0.792952  |
| Cr      | 0.422907  |
| Mn      | 0.680617  |
| Fe      | 0.460352  |
| Ni      | 0.596916  |
| Cu      | 0.678414  |
| Zn      | 0.803965  |
| Cd      | 0.896476  |
| Pb      | 0.848018  |
| Na      | 0.0638767 |
| Mg      | 0.0638767 |
| Al      | 0.0660793 |
| K       | 0.0837004 |
| Ti      | 0.121145  |
| V       | 0.136564  |
| Cr      | 0.209251  |
| Mn      | 0.0572687 |
| Fe      | 0.10793   |
| Ni      | 0.110132  |
| Cu      | 0.123348  |
| Zn      | 0.0947137 |
| Cd      | 0.0748899 |
| Pb      | 0.0770925 |
