|   title |   a/c = 0.2 |
|     0.1 |    8.6272   |
|     0.2 |    8.7642   |
|     0.3 |    7.39426  |
|     0.4 |    5.33935  |
|     0.5 |    2.32548  |
|     0.6 |    1.91449  |
|     0.7 |    4.79137  |
|     0.8 |    6.02432  |
|     0.1 |    6.2983   |
|     0.2 |    6.2983   |
|     0.3 |    6.02432  |
|     0.4 |    5.33935  |
|     0.5 |    3.83241  |
|     0.6 |    1.91449  |
|     0.7 |    0.33906  |
|     0.8 |    0.955534 |
|     0.1 |    8.21622  |
|     0.2 |    8.21622  |
|     0.3 |    7.80524  |
|     0.4 |    7.25726  |
|     0.5 |    6.16131  |
|     0.6 |    4.92836  |
|     0.7 |    3.01045  |
|     0.8 |    2.32548  |
|     0.1 |   12.6      |
|     0.2 |   12.0521   |
|     0.3 |   11.6411   |
|     0.4 |   11.3671   |
|     0.5 |   10.2711   |
|     0.6 |    9.03819  |
|     0.7 |    7.12027  |
|     0.8 |    6.57229  |
