| Category   |    X |       Y |
| A          |  300 | 19.9346 |
| A          |  521 | 21.953  |
| A          | 1019 | 16.8842 |
| A          |  385 | 13.9025 |
| A          |  200 | 13.9025 |
| A          |  883 | 20.9209 |
| A          | 1082 | 20.8979 |
| A          |  739 | 16.953  |
| A          |  503 | 21.953  |
| A          |  879 | 21.93   |
| B          |  300 | 21.9071 |
| B          |  521 | 21.9071 |
| B          | 1019 | 21.8842 |
| B          |  385 | 18.9255 |
| B          |  883 | 25.9209 |
| B          |  200 | 20.9209 |
| B          | 1082 | 25.8979 |
| B          |  739 | 21.93   |
| B          |  503 | 27.9622 |
| B          |  879 | 23.9484 |
| C          |  300 | 21.953  |
| C          |  521 | 15.9209 |
| C          | 1019 | 17.8933 |
| C          |  385 | 18.9025 |
| C          |  883 | 20.9438 |
| C          |  200 | 19.9346 |
| C          | 1082 | 24.8658 |
| C          |  739 | 23.9255 |
| C          |  503 | 20.9438 |
| C          |  879 | 20.9438 |
| mean       |  300 | 21.2534 |
| mean       |  521 | 19.9461 |
| mean       | 1019 | 18.9484 |
| mean       |  385 | 17.2626 |
| mean       |  883 | 22.6067 |
| mean       |  200 | 18.2947 |
| mean       | 1082 | 23.9599 |
| mean       |  503 | 23.6273 |
| mean       |  739 | 20.9553 |
| mean       |  879 | 22.2511 |
