|   title |   NR/ZDA |
|      75 |  7.54484 |
|     150 | 12.9782  |
|     225 | 17.8124  |
|     300 | 20.0097  |
|      75 |  6.40622 |
|     150 |  8.32389 |
|     225 |  8.98309 |
|     300 | 10.1217  |
|      75 |  7.2452  |
|     150 | 15.2954  |
|     225 | 19.1308  |
|     300 | 20.9685  |
|      75 |  5.38746 |
|     150 |  8.74338 |
|     225 | 16.0545  |
|     300 | 16.6138  |
|      75 |  9.46251 |
|     150 | 17.1731  |
|     225 | 22.0872  |
|     300 | 23.0061  |
|      75 |  7.72462 |
|     150 | 11.2004  |
|     225 | 16.8336  |
|     300 | 18.2718  |
