|   title |   Non-synonymous |
|       1 |       0.541905   |
|       2 |       0.103384   |
|       3 |       0.052785   |
|       4 |       0.0340448  |
|       5 |       0.0265487  |
|       6 |       0.0209266  |
|       7 |       0.0190526  |
|       8 |       0.0203019  |
|       9 |       0.0178032  |
|      10 |       0.0165539  |
|      11 |       0.0140552  |
|      12 |       0.0165539  |
|      13 |       0.0128058  |
|      14 |       0.0140552  |
|      15 |       0.0140552  |
|      16 |       0.0128058  |
|      17 |       0.0128058  |
|      18 |       0.00968246 |
|      19 |       0.0115565  |
|      20 |       0.0140552  |
|      21 |       0.0140552  |
|      22 |       0.0115565  |
|      23 |       0.0153045  |
|      24 |       0.0153045  |
|       1 |       0.318896   |
|       2 |       0.122124   |
|       3 |       0.0771473  |
|       4 |       0.054659   |
|       5 |       0.0434149  |
|       6 |       0.0377928  |
|       7 |       0.0302967  |
|       8 |       0.0265487  |
|       9 |       0.0246746  |
|      10 |       0.0228006  |
|      11 |       0.0190526  |
|      12 |       0.0190526  |
|      13 |       0.0190526  |
|      14 |       0.0171786  |
|      15 |       0.0171786  |
|      16 |       0.0171786  |
|      17 |       0.0171786  |
|      18 |       0.0171786  |
|      19 |       0.0171786  |
|      20 |       0.0171786  |
|      21 |       0.0190526  |
|      22 |       0.0209266  |
|      23 |       0.0246746  |
|      24 |       0.0228006  |
