|   title |   Lamb birth (\epsilon S) and slaughter traits (\epsilon L) |
|       1 |                                                  0.0382407  |
|       2 |                                                  0.0693594  |
|       3 |                                                  0.0974422  |
|       4 |                                                  0.113887   |
|       5 |                                                  0.115658   |
|       6 |                                                  0.117176   |
|       7 |                                                  0.115658   |
|       8 |                                                  0.11414    |
|       9 |                                                  0.112622   |
|      10 |                                                  0.110345   |
|       1 |                                                  0.00180894 |
|       2 |                                                  0.218881   |
|       3 |                                                  0.18245    |
|       4 |                                                  0.16727    |
|       5 |                                                  0.126284   |
|       6 |                                                  0.0686004  |
|       7 |                                                  0.0731544  |
|       8 |                                                  0.0663234  |
|       9 |                                                  0.0556975  |
|      10 |                                                  0.0458306  |
|       1 |                                                  0.00180894 |
|       2 |                                                  0.00180894 |
|       3 |                                                  0.0789733  |
|       4 |                                                  0.124007   |
|       5 |                                                  0.160439   |
|       6 |                                                  0.171571   |
|       7 |                                                  0.155379   |
|       8 |                                                  0.129067   |
|       9 |                                                  0.105285   |
|      10 |                                                  0.0855513  |
