| Category   |         X |        Y |
| Sn-MnO2    |  0.933333 | 113.189  |
| Sn-MnO2    | 40.1333   |  79.5165 |
| Sn-MnO2    | 39.1152   |  80.1232 |
| Sn-MnO2    | 38.0242   |  81.3367 |
| Sn-MnO2    | 37.0788   |  81.3367 |
| Sn-MnO2    | 36.097    |  81.4883 |
| Sn-MnO2    | 35.0788   |  81.64   |
| Sn-MnO2    | 34.0242   |  82.095  |
| Sn-MnO2    | 33.0424   |  82.095  |
| Sn-MnO2    | 31.9515   |  82.095  |
| Sn-MnO2    | 30.9333   |  82.3984 |
| Sn-MnO2    | 30.0606   |  83.3084 |
| Sn-MnO2    | 29.0788   |  83.4601 |
| Sn-MnO2    | 28.097    |  84.0668 |
| Sn-MnO2    | 27.1515   |  84.8252 |
| Sn-MnO2    | 26.1697   |  84.8252 |
| Sn-MnO2    | 25.1152   |  85.4319 |
| Sn-MnO2    | 24.097    |  86.0386 |
| Sn-MnO2    | 23.0788   |  87.252  |
| Sn-MnO2    | 21.9515   |  87.4037 |
| Sn-MnO2    | 21.0788   |  88.1621 |
| Sn-MnO2    | 20.097    |  88.6171 |
| Sn-MnO2    | 18.9697   |  89.5272 |
| Sn-MnO2    | 18.0606   |  89.8305 |
| Sn-MnO2    | 17.0424   |  90.5889 |
| Sn-MnO2    | 15.9879   |  91.1956 |
| Sn-MnO2    | 15.1152   |  92.2574 |
| Sn-MnO2    |  1.98788  | 102.571  |
| Sn-MnO2    |  2.9697   | 102.268  |
| Sn-MnO2    |  3.95152  | 102.571  |
| Sn-MnO2    |  5.00606  | 101.965  |
| Sn-MnO2    |  6.02424  | 100.296  |
| Sn-MnO2    |  7.04242  |  98.7795 |
| Sn-MnO2    |  7.98788  |  97.5661 |
| Sn-MnO2    |  8.9697   |  97.111  |
| Sn-MnO2    |  9.95152  |  96.0493 |
| Sn-MnO2    | 11.0061   |  95.5943 |
| Sn-MnO2    | 12.0242   |  94.2292 |
| Sn-MnO2    | 13.0424   |  93.6225 |
| Sn-MnO2    | 13.9879   |  92.7124 |
| P -MnO2    | 40.097    |  64.1972 |
| P -MnO2    |  1.98788  | 136.395  |
| P -MnO2    |  2.93333  | 131.845  |
| P -MnO2    |  3.98788  | 128.66   |
| P -MnO2    |  5.07879  | 126.081  |
| P -MnO2    |  5.95152  | 125.02   |
| P -MnO2    | 39.0424   |  64.9556 |
| P -MnO2    | 37.9957   |  65.9076 |
| P -MnO2    | 36.9989   |  66.9431 |
| P -MnO2    | 35.9973   |  68.1692 |
| P -MnO2    | 35.0016   |  69.0016 |
| P -MnO2    | 33.9879   |  70.216  |
| P -MnO2    | 32.9989   |  71.2501 |
| P -MnO2    | 32.0016   |  72.7935 |
| P -MnO2    | 30.9928   |  74.6698 |
| P -MnO2    | 29.9766   |  76.6662 |
| P -MnO2    | 29.07     |  78.8055 |
| P -MnO2    | 28.0843   |  80.6062 |
| P -MnO2    | 27.0424   |  83.0051 |
| P -MnO2    | 26.0606   |  85.5836 |
| P -MnO2    | 24.9333   |  88.6171 |
| P -MnO2    | 23.9515   |  89.5272 |
| P -MnO2    | 23.0424   |  91.8023 |
| P -MnO2    |  0.939394 | 160.234  |
| P -MnO2    |  7.0303   | 123.199  |
| P -MnO2    |  8.06061  | 122.062  |
| P -MnO2    |  9.0303   | 120.292  |
| P -MnO2    | 10.0303   | 118.523  |
| P -MnO2    | 11.0303   | 116.374  |
| P -MnO2    | 12.0909   | 114.225  |
| P -MnO2    | 12.9394   | 112.076  |
| P -MnO2    | 13.9394   | 109.801  |
| P -MnO2    | 15.0909   | 107.4    |
| P -MnO2    | 16.0303   | 104.872  |
| P -MnO2    | 17.0303   | 103.102  |
| P -MnO2    | 17.9697   | 101.08   |
| P -MnO2    | 19.0303   |  99.1839 |
| P -MnO2    | 20.0909   |  97.0352 |
| P -MnO2    | 21        |  95.6448 |
| P -MnO2    | 22.0303   |  93.4961 |
