| Category    |        X |        Y |
| 0.0050 m3/s |  23.285  | 0.7281   |
| 0.0050 m3/s |  24.2487 | 0.739446 |
| 0.0050 m3/s |  25.3787 | 0.751319 |
| 0.0050 m3/s |  26.2427 | 0.761082 |
| 0.0050 m3/s |  28.004  | 0.776121 |
| 0.0050 m3/s |  29.3666 | 0.786939 |
| 0.0050 m3/s |  31.0614 | 0.800132 |
| 0.0050 m3/s |  32.7563 | 0.814116 |
| 0.0050 m3/s |  34.2185 | 0.823879 |
| 0.0050 m3/s |  35.9799 | 0.831794 |
| 0.0050 m3/s |  37.6747 | 0.844987 |
| 0.0050 m3/s |  39.6022 | 0.853166 |
| 0.0050 m3/s |  41.6626 | 0.861873 |
| 0.0050 m3/s |  44.1551 | 0.874011 |
| 0.0050 m3/s |  46.9799 | 0.884565 |
| 0.0050 m3/s |  50.1702 | 0.896702 |
| 0.0050 m3/s |  54.0252 | 0.905937 |
| 0.0050 m3/s |  58.1793 | 0.916755 |
| 0.0050 m3/s |  63.5297 | 0.9281   |
| 0.0050 m3/s |  68.8802 | 0.939182 |
| 0.0068 m3/s |  44.0222 | 0.741557 |
| 0.0068 m3/s |  47.3787 | 0.762665 |
| 0.0068 m3/s |  52.0645 | 0.781662 |
| 0.0068 m3/s |  57.5811 | 0.804881 |
| 0.0068 m3/s |  64.6264 | 0.827045 |
| 0.0068 m3/s |  69.146  | 0.841821 |
| 0.0068 m3/s |  74.1974 | 0.852375 |
| 0.0068 m3/s |  80.3122 | 0.86715  |
| 0.0068 m3/s |  87.4904 | 0.880871 |
| 0.0068 m3/s |  96.9285 | 0.894591 |
| 0.0068 m3/s | 108.095  | 0.910422 |
| 0.0068 m3/s | 117.134  | 0.918865 |
| 0.0068 m3/s | 128.034  | 0.930475 |
| 0.0068 m3/s | 141.327  | 0.939974 |
| 0.0068 m3/s | 157.678  | 0.951231 |
| 0.0068 m3/s | 180.387  | 0.963193 |
| 0.0068 m3/s | 200.459  | 0.969525 |
