| title   |   Current pre-legislation |
| 1       |                   21.3295 |
| 2       |                   28.6238 |
| 3       |                   39.1879 |
| 4       |                   37.1757 |
| 5       |                   63.5861 |
| Missing |                   40.194  |
| All     |                   43.9669 |
| 1       |                   20.3234 |
| 2       |                   31.8936 |
| 3       |                   41.4517 |
| 4       |                   46.4822 |
| 5       |                   63.083  |
| Missing |                   41.7032 |
| All     |                   47.2368 |
