| Category   |   first quartile |      max |   median |       min |   third quartile | x          |
| A road     |         20.171   | 29.4088  | 25.1976  | 14.3654   |         27.5466  | <0.075     |
| A road     |         21.6315  | 23.372   | 22.5687  | 21.6315   |         22.6782  | 0.075-0.15 |
| A road     |         20.0736  | 23.518   | 20.6213  | 20.0736   |         23.2138  | 0.15-0.30  |
| A road     |         19.7328  | 19.7328  | 19.7328  | 19.7328   |         19.7328  | 0.30-0.60  |
| A road     |          8.04868 |  8.72417 |  8.20691 |  7.1602   |          8.72417 | 0.60-1.18  |
| A road     |          2.1498  |  3.17217 |  2.66099 |  1.89421  |          3.17217 | 1.18-2.36  |
| A road     |          1.04224 |  3.54136 |  2.12141 |  1.04224  |          2.88818 | 2.36-4.75  |
| B road     |         12.3329  | 25.8062  | 19.8911  |  7.30625  |         22.5809  | <0.075     |
| B road     |         10.0447  | 22.7391  | 11.6635  |  7.50099  |         18.3454  | 0.075-0.15 |
| B road     |         12.3816  | 24.297   | 18.6253  |  8.13388  |         20.244   | 0.15-0.30  |
| B road     |         13.55    | 24.7838  | 17.8463  |  7.25757  |         20.9256  | 0.30-0.60  |
| B road     |          5.61448 | 10.1299  |  5.87007 |  4.84771  |          8.79517 | 0.60-1.18  |
| B road     |          4.36493 |  9.73234 |  4.96131 |  2.235    |          7.75861 | 1.18-2.36  |
| B road     |          6.18246 | 12.5722  |  8.19879 |  2.74618  |         12.3166  | 2.36-4.75  |
| C road     |         10.7263  | 15.7286  | 14.6332  |  8.71809  |         15.1322  | <0.075     |
| C road     |         17.3473  | 25.6601  | 22.7634  | 12.7102   |         24.2848  | 0.075-0.15 |
| C road     |         23.9684  | 32.768   | 26.9016  | 15.8746   |         29.9321  | 0.15-0.30  |
| C road     |         21.3881  | 22.5443  | 22.2766  | 21.3881   |         22.2766  | 0.30-0.60  |
| C road     |          7.31842 | 11.8907  |  8.25559 |  6.83564  |         10.3287  | 0.60-1.18  |
| C road     |          2.71778 |  9.27796 |  3.14377 |  1.83742  |          5.45829 | 1.18-2.36  |
| C road     |          1.24104 |  2.60419 |  2.235   |  0.871849 |          2.60419 | 2.36-4.75  |
