| Category   |        X |       Y |
| MgO        |  26.8966 | 530.982 |
| MgO        |  48.9655 | 531.166 |
| MgO        |  99.3103 | 531.117 |
| MgO        | 199.31   | 531.025 |
| MgO        | 300      | 531.099 |
| MH         | 300      | 532.033 |
| MH         | 199.31   | 531.996 |
| MH         | 100      | 532.043 |
| MH         |  48.2759 | 532.057 |
| MH         |  26.2069 | 531.977 |
| HMC        | 300      | 533.341 |
| HMC        | 199.31   | 533.218 |
| HMC        |  99.3103 | 533.384 |
| HMC        |  48.2759 | 533.519 |
| HMC        |  26.2069 | 533.23  |
