|   title |   epoxy and nanoparticle8 |
|    2001 |                  39.9313  |
|    2002 |                  94.4165  |
|    2003 |                 157.737   |
|    2004 |                 212.222   |
|    2005 |                 291.741   |
|    2006 |                 393.349   |
|    2007 |                 505.264   |
|    2008 |                 546.497   |
|    2009 |                 588.219   |
|    2001 |                  14.8975  |
|    2002 |                  20.7878  |
|    2003 |                  32.5684  |
|    2004 |                  53.1844  |
|    2005 |                  78.2182  |
|    2006 |                 101.779   |
|    2007 |                 113.56    |
|    2008 |                 128.777   |
|    2009 |                 125.341   |
|    2001 |                   3.11695 |
|    2002 |                   3.11695 |
|    2003 |                   4.09866 |
|    2004 |                   5.08038 |
|    2005 |                  13.9158  |
|    2006 |                  13.9158  |
|    2007 |                  13.9158  |
|    2008 |                  15.8792  |
|    2009 |                  18.8244  |
