| title   |   non fatal |
| <20     |  10.0296    |
| >20-22  |  -0.0861981 |
| >22-24  |  -0.0861981 |
| >24-26  |  20.0574    |
| >26-28  |  20.0574    |
| >28-30  |  20.0574    |
| >30-32  |  10.0296    |
| >32-34  |  10.0296    |
| >34-36  |  -0.0158276 |
| >36-38  |  10.0296    |
| <20     |  -0.0861981 |
| >20-22  |  -0.0158276 |
| >22-24  |   9.62493   |
| >24-26  |   4.64622   |
| >26-28  |   9.50178   |
| >28-30  |  38.2129    |
| >30-32  |  23.8574    |
| >32-34  |  14.2518    |
| >34-36  |  -0.0158276 |
| >36-38  |  -0.0158276 |
