| title   |     GIS/M |
| 0-10y   |  2.76688  |
| 11-20y  |  7.87098  |
| 21-30y  | 11.1584   |
| 31-40y  | 17.3871   |
| 41-50y  | 22.2317   |
| 51-60y  | 22.2317   |
| 61-70y  | 11.0719   |
| 71-80y  |  4.75662  |
| 81->90y |  0.69064  |
| 0-10y   |  2.76688  |
| 11-20y  | 10.7258   |
| 21-30y  | 14.4458   |
| 31-40y  | 19.8959   |
| 41-50y  | 22.8372   |
| 51-60y  | 17.2141   |
| 61-70y  |  9.94723  |
| 71-80y  |  2.16131  |
| 81->90y |  0.344599 |
| 0-10y   | 14.5323   |
| 11-20y  | 12.11     |
| 21-30y  | 12.8021   |
| 31-40y  | 16.6518   |
| 41-50y  | 14.5323   |
| 51-60y  | 12.7156   |
| 61-70y  |  8.90911  |
| 71-80y  |  5.53521  |
| 81->90y |  2.0748   |
| 0-10y   | 14.3592   |
| 11-20y  | 11.5909   |
| 21-30y  | 11.8505   |
| 31-40y  | 15.3541   |
| 41-50y  | 13.8402   |
| 51-60y  | 12.1965   |
| 61-70y  |  8.99562  |
| 71-80y  |  7.09239  |
| 81->90y |  4.67011  |
