|   title |   Genetic |
|    1982 |       4.4 |
|    1987 |       6.2 |
|    1992 |       9.9 |
|    1997 |       9.2 |
|    2002 |      10.8 |
|    1982 |      30.9 |
|    1987 |      25.2 |
|    1992 |      22.9 |
|    1997 |      20.7 |
|    2002 |      18.7 |
|    1982 |       6.9 |
|    1987 |       7.2 |
|    1992 |       6.1 |
|    1997 |       5.5 |
|    2002 |       4.4 |
|    1982 |       5   |
|    1987 |       8   |
|    1992 |       8.6 |
|    1997 |      12   |
|    2002 |      15.2 |
|    1982 |      10.4 |
|    1987 |       9.5 |
|    1992 |      11.9 |
|    1997 |      20.3 |
|    2002 |      24.1 |
|    1982 |      28.4 |
|    1987 |      32.5 |
|    1992 |      29.8 |
|    1997 |      26   |
|    2002 |      20.9 |
|    1982 |      13.9 |
|    1987 |      11.5 |
|    1992 |      10.7 |
|    1997 |       6.3 |
|    2002 |       6   |
