| Category                 |        X |        Y |
| [unnamed data series #0] | 51.9735  | -1.5369  |
| [unnamed data series #0] | 50.9841  | -1.53759 |
| [unnamed data series #0] | 49.9947  | -1.5369  |
| [unnamed data series #0] | 49.0053  | -1.53759 |
| [unnamed data series #0] | 48.0159  | -1.5369  |
| [unnamed data series #0] | 46.9683  | -1.5369  |
| [unnamed data series #0] | 45.9206  | -1.53552 |
| [unnamed data series #0] | 44.9312  | -1.53    |
| [unnamed data series #0] | 43.9418  | -1.52931 |
| [unnamed data series #0] | 43.0106  | -1.52931 |
| [unnamed data series #0] | 41.963   | -1.52931 |
| [unnamed data series #0] | 40.9735  | -1.52931 |
| [unnamed data series #0] | 39.9259  | -1.52931 |
| [unnamed data series #0] | 38.9365  | -1.52931 |
| [unnamed data series #0] | 37.8889  | -1.52862 |
| [unnamed data series #0] | 36.8995  | -1.52931 |
| [unnamed data series #0] | 35.9683  | -1.52862 |
| [unnamed data series #0] | 35.037   | -1.52931 |
| [unnamed data series #0] | 34.1058  | -1.52931 |
| [unnamed data series #0] | 32.8836  | -1.52862 |
| [unnamed data series #0] | 32.0106  | -1.53    |
| [unnamed data series #0] | 31.0794  | -1.52931 |
| [unnamed data series #0] | 29.9153  | -1.52931 |
| [unnamed data series #0] | 28.9841  | -1.52931 |
| [unnamed data series #0] | 27.8783  | -1.52862 |
| [unnamed data series #0] | 27.0053  | -1.52862 |
| [unnamed data series #0] | 26.0159  | -1.52931 |
| [unnamed data series #0] | 25.0265  | -1.52034 |
| [unnamed data series #0] | 23.9788  | -1.52103 |
| [unnamed data series #0] | 22.9894  | -1.52103 |
| [unnamed data series #0] | 22.0582  | -1.52034 |
| [unnamed data series #0] | 21.0688  | -1.52103 |
| [unnamed data series #0] | 20.0794  | -1.51414 |
| [unnamed data series #0] | 18.9735  | -1.51414 |
| [unnamed data series #0] | 18.0423  | -1.51414 |
| [unnamed data series #0] | 16.9947  | -1.51345 |
| [unnamed data series #0] | 15.8889  | -1.51345 |
| [unnamed data series #0] | 14.9577  | -1.51483 |
| [unnamed data series #0] | 13.9683  | -1.51345 |
| [unnamed data series #0] | 13.037   | -1.51483 |
| [unnamed data series #0] | 11.9312  | -1.51414 |
| [unnamed data series #0] | 11       | -1.51345 |
| [unnamed data series #0] | 10.0688  | -1.51414 |
| [unnamed data series #0] |  9.02116 | -1.51414 |
| [unnamed data series #0] |  7.97354 | -1.51414 |
| [unnamed data series #0] |  6.98413 | -1.51345 |
| [unnamed data series #0] |  5.99471 | -1.48793 |
| [unnamed data series #0] |  5.00529 | -1.48103 |
| [unnamed data series #0] |  4.01587 | -1.47828 |
| [unnamed data series #0] |  3.02646 | -1.46862 |
| [unnamed data series #0] |  2.03704 | -1.46724 |
| [unnamed data series #0] |  1.10582 | -1.46724 |
