| Category                       |       X |       Y |
| Serum phosphorus reduction (%) | 48.2633 | 41.7439 |
| Serum phosphorus reduction (%) | 44.3545 | 53.3406 |
| Serum phosphorus reduction (%) | 54.7746 | 40.4011 |
| Serum phosphorus reduction (%) | 48.8908 | 57.4561 |
| Serum phosphorus reduction (%) | 51.771  | 56.0959 |
| Serum phosphorus reduction (%) | 54.5688 | 53.951  |
| Serum phosphorus reduction (%) | 53.0053 | 48.824  |
| Serum phosphorus reduction (%) | 54.4865 | 51.0213 |
| Serum phosphorus reduction (%) | 55.5152 | 46.7837 |
| Serum phosphorus reduction (%) | 55.9678 | 46.3651 |
| Serum phosphorus reduction (%) | 57.3667 | 46.6267 |
| Serum phosphorus reduction (%) | 58.313  | 45.1619 |
| Serum phosphorus reduction (%) | 61.4401 | 43.5401 |
| Serum phosphorus reduction (%) | 64.814  | 46.6267 |
| Serum phosphorus reduction (%) | 66.1718 | 45.2665 |
| Serum phosphorus reduction (%) | 67.365  | 45.9989 |
| Serum phosphorus reduction (%) | 69.6691 | 46.0512 |
| Serum phosphorus reduction (%) | 70.8212 | 44.3248 |
| Serum phosphorus reduction (%) | 78.2273 | 55.782  |
| Serum phosphorus reduction (%) | 71.2326 | 54.1079 |
| Serum phosphorus reduction (%) | 70.6978 | 54.1602 |
| Serum phosphorus reduction (%) | 67.941  | 51.4921 |
| Serum phosphorus reduction (%) | 77.8982 | 67.4485 |
| Serum phosphorus reduction (%) | 77.2398 | 68.5471 |
| Serum phosphorus reduction (%) | 73.6191 | 73.2556 |
| Serum phosphorus reduction (%) | 75.594  | 67.9717 |
| Serum phosphorus reduction (%) | 76.1701 | 65.879  |
| Serum phosphorus reduction (%) | 74.3734 | 63.9128 |
| Serum phosphorus reduction (%) | 74.2362 | 60.2943 |
| Serum phosphorus reduction (%) | 72.659  | 60.7738 |
| Serum phosphorus reduction (%) | 70.7046 | 62.0381 |
| Serum phosphorus reduction (%) | 70.156  | 61.1226 |
| Serum phosphorus reduction (%) | 70.5332 | 58.6376 |
| Serum phosphorus reduction (%) | 70.1217 | 57.2861 |
| Serum phosphorus reduction (%) | 68.2016 | 58.158  |
| Serum phosphorus reduction (%) | 69.0245 | 59.03   |
| Serum phosphorus reduction (%) | 69.2988 | 59.9019 |
| Serum phosphorus reduction (%) | 67.1044 | 59.8147 |
| Serum phosphorus reduction (%) | 66.0758 | 60.7738 |
| Serum phosphorus reduction (%) | 65.3557 | 61.8202 |
| Serum phosphorus reduction (%) | 65.3214 | 62.4741 |
| Serum phosphorus reduction (%) | 68.6131 | 63.0409 |
| Serum phosphorus reduction (%) | 68.8188 | 63.5204 |
| Serum phosphorus reduction (%) | 66.5901 | 64.2616 |
| Serum phosphorus reduction (%) | 67.2758 | 65.8747 |
| Serum phosphorus reduction (%) | 66.4187 | 66.6158 |
| Serum phosphorus reduction (%) | 65.3214 | 65.8311 |
| Serum phosphorus reduction (%) | 63.9842 | 65.8747 |
| Serum phosphorus reduction (%) | 55.7552 | 67.7929 |
| Serum phosphorus reduction (%) | 58.7725 | 61.6458 |
| Serum phosphorus reduction (%) | 58.8411 | 59.7275 |
| Serum phosphorus reduction (%) | 61.3784 | 63.0409 |
| Serum phosphorus reduction (%) | 62.9899 | 61.8202 |
| Serum phosphorus reduction (%) | 64.2242 | 59.3351 |
| Serum phosphorus reduction (%) | 64.3614 | 59.9019 |
| Serum phosphorus reduction (%) | 64.0871 | 57.4605 |
| Serum phosphorus reduction (%) | 64.2242 | 57.6349 |
| Serum phosphorus reduction (%) | 62.7156 | 58.158  |
| Serum phosphorus reduction (%) | 60.6583 | 57.8093 |
| Serum phosphorus reduction (%) | 61.6527 | 56.4142 |
| Serum phosphorus reduction (%) | 60.4183 | 56.2834 |
| Serum phosphorus reduction (%) | 59.8697 | 55.9782 |
| Serum phosphorus reduction (%) | 58.4982 | 53.7984 |
| Serum phosphorus reduction (%) | 57.2296 | 54.4959 |
| Serum phosphorus reduction (%) | 59.3554 | 51.2262 |
| Serum phosphorus reduction (%) | 60.864  | 48.9591 |
| Serum phosphorus reduction (%) | 63.4836 | 49.7875 |
| Serum phosphorus reduction (%) | 64.3614 | 50.703  |
| Serum phosphorus reduction (%) | 64.67   | 52.0545 |
| Serum phosphorus reduction (%) | 63.5385 | 54.0163 |
| Serum phosphorus reduction (%) | 63.5728 | 55.891  |
| Serum phosphorus reduction (%) | 63.9499 | 56.1526 |
| Serum phosphorus reduction (%) | 66.5215 | 54.8447 |
| Serum phosphorus reduction (%) | 71.939  | 67.5749 |
| Serum phosphorus reduction (%) | 71.5961 | 70.1907 |
| Serum phosphorus reduction (%) | 72.0075 | 71.4114 |
| Serum phosphorus reduction (%) | 71.8704 | 74.3324 |
| Serum phosphorus reduction (%) | 67.9273 | 71.2807 |
| Serum phosphorus reduction (%) | 66.4598 | 52.1199 |
