|   title |   full post-graduate clinical course |
|    1983 |                            0.502811  |
|    1984 |                            0.254588  |
|    1985 |                            0.063647  |
|    1986 |                            0.280047  |
|    1987 |                            0.362788  |
|    1988 |                            0.063647  |
|    1989 |                            0.114565  |
|    1990 |                            0.222764  |
|    1991 |                            0.235494  |
|    1992 |                            0.190941  |
|    1993 |                            0.159117  |
|    1994 |                            0.0700117 |
|    1995 |                            0.063647  |
|    1996 |                            0.0445529 |
|    1997 |                            0.0318235 |
|    1998 |                            0.0063647 |
|    1999 |                            0.0063647 |
|    2000 |                            0.0063647 |
|    2001 |                            0.0063647 |
|    2002 |                            0.0318235 |
|    2003 |                            0.0063647 |
|    2004 |                            0.0190941 |
|    2005 |                            0.0063647 |
|    2006 |                            0.0063647 |
|    2007 |                            0.0063647 |
|    2008 |                            0.0063647 |
|    2009 |                            0.0063647 |
|    1983 |                            0.490082  |
|    1984 |                            0.668293  |
|    1985 |                            0.814681  |
|    1986 |                            0.712846  |
|    1987 |                            0.630105  |
|    1988 |                            0.878328  |
|    1989 |                            0.846505  |
|    1990 |                            0.751034  |
|    1991 |                            0.668293  |
|    1992 |                            0.585552  |
|    1993 |                            0.52827   |
|    1994 |                            0.509176  |
|    1995 |                            0.190941  |
|    1996 |                            0.318235  |
|    1997 |                            0.661929  |
|    1998 |                            0.604646  |
|    1999 |                            0.343694  |
|    2000 |                            0.388247  |
|    2001 |                            0.286411  |
|    2002 |                            0.273682  |
|    2003 |                            0.330964  |
|    2004 |                            0.273682  |
|    2005 |                            0.394611  |
|    2006 |                            0.458258  |
|    2007 |                            0.178212  |
|    2008 |                            0.0572823 |
|    2009 |                            0.165482  |
|    1983 |                            0.0063647 |
|    1984 |                            0.0763764 |
|    1985 |                            0.120929  |
|    1986 |                            0.0063647 |
|    1987 |                            0.0063647 |
|    1988 |                            0.0572823 |
|    1989 |                            0.0381882 |
|    1990 |                            0.0254588 |
|    1991 |                            0.0954705 |
|    1992 |                            0.2164    |
|    1993 |                            0.286411  |
|    1994 |                            0.381882  |
|    1995 |                            0.655564  |
|    1996 |                            0.286411  |
|    1997 |                            0.178212  |
|    1998 |                            0.20367   |
|    1999 |                            0.369152  |
|    2000 |                            0.318235  |
|    2001 |                            0.413705  |
|    2002 |                            0.362788  |
|    2003 |                            0.254588  |
|    2004 |                            0.165482  |
|    2005 |                            0.114565  |
|    2006 |                            0.0891058 |
|    2007 |                            0.2164    |
|    2008 |                            0.152753  |
|    2009 |                            0.0445529 |
|    1983 |                            0         |
|    1984 |                            0         |
|    1985 |                            0         |
|    1986 |                            0         |
|    1987 |                            0         |
|    1988 |                            0         |
|    1989 |                            0         |
|    1990 |                            0         |
|    1991 |                            0         |
|    1992 |                            0.0063647 |
|    1993 |                            0.0254588 |
|    1994 |                            0.0381882 |
|    1995 |                            0.0891058 |
|    1996 |                            0.350058  |
|    1997 |                            0.127294  |
|    1998 |                            0.184576  |
|    1999 |                            0.280047  |
|    2000 |                            0.286411  |
|    2001 |                            0.292776  |
|    2002 |                            0.330964  |
|    2003 |                            0.407341  |
|    2004 |                            0.540999  |
|    2005 |                            0.483717  |
|    2006 |                            0.445529  |
|    2007 |                            0.598282  |
|    2008 |                            0.782858  |
|    2009 |                            0.782858  |
