|   title |   [unnamed data series #0] |
|       1 |                    26.9921 |
|       2 |                    39.0365 |
|       3 |                    19.6692 |
|       4 |                    33.4479 |
|       5 |                    14.8515 |
|       6 |                    22.6562 |
|       7 |                    15.3332 |
|       8 |                    23.9088 |
|       9 |                    13.9843 |
|      10 |                    28.2447 |
|      11 |                    21.3072 |
|      12 |                    15.6223 |
|      13 |                    25.4505 |
|      14 |                    25.8359 |
|      15 |                    15.6223 |
|      16 |                    24.5833 |
|      17 |                    12.828  |
|      18 |                    15.0442 |
